time,true_roll,true_pitch,true_rate_x,true_rate_y,est_roll,est_pitch,est_rate_x,est_rate_y,torque_x,torque_y,disturbance
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.2762,0.2295,0.000112,-0.000029,0
0.0200,0.1033,-0.0668,19.4216,8.9919,0.1033,-0.0668,16.5159,4.5203,-0.003008,-0.001750,0
0.0400,0.3851,0.0569,3.5296,-21.1572,0.3851,0.0569,-13.8293,-14.4364,0.001528,0.003644,0
0.0600,0.5177,-0.0738,10.9513,-10.9940,0.5177,-0.0738,32.1093,-1.4936,-0.002805,0.002295,0
0.0800,0.4061,-0.3098,12.7145,12.4530,0.4061,-0.3098,24.2519,-12.0115,-0.003121,0.000218,0
0.1000,0.1504,-0.2421,-32.0810,-9.5726,0.1504,-0.2421,-16.0400,-35.0854,0.001890,0.003147,0
0.1200,0.0434,-0.0717,11.9957,-4.8969,0.0434,-0.0717,9.7473,-4.7384,0.000403,0.000668,0
0.1400,-0.0789,-0.1856,-25.1036,-12.2761,-0.0789,-0.1856,-42.2300,-10.0719,0.003391,0.001657,0
0.1600,0.0220,0.1097,29.1053,12.1138,0.0220,0.1097,30.8052,15.4183,-0.002814,0.001407,0
0.1800,0.1678,0.3622,-28.4133,-6.8029,0.1678,0.3622,-48.2685,-0.5513,0.005006,0.002496,0
0.2000,0.3066,0.4436,9.2671,-22.7313,0.3066,0.4436,17.4278,-33.5956,-0.001509,0.005200,0
0.2200,0.0085,0.6815,-28.8889,12.8294,0.0085,0.6815,-20.0677,21.4313,0.001056,-0.001406,0
0.2400,-0.3967,0.3933,-11.8542,-7.1721,-0.3967,0.3933,25.7973,35.7602,-0.002094,-0.005200,0
0.2600,-0.1242,0.5120,36.4149,18.8891,-0.1242,0.5120,43.1976,-8.4016,-0.001944,0.001849,0
0.2800,-0.3349,0.4203,-11.9579,-5.1388,-0.3349,0.4203,-19.0256,-7.1590,0.001062,-0.001571,0
0.3000,-0.6145,0.3932,2.2133,12.3423,-0.6145,0.3932,-10.6398,36.8265,-0.000828,-0.004025,0
0.3200,-0.5797,0.3097,-31.8027,0.2415,-0.5797,0.3097,15.5419,26.9221,-0.000464,-0.001652,0
0.3400,-0.6383,0.0167,44.9511,-6.5401,-0.6383,0.0167,8.5406,-20.2665,-0.001049,0.002130,0
0.3600,0.0258,0.2668,23.0323,-21.7720,0.0258,0.2668,19.3774,-25.6891,-0.000824,0.005011,0
0.3800,-0.0855,0.0842,-10.5780,-24.7998,-0.0855,0.0842,16.0452,-33.3045,-0.002713,0.003137,0
0.4000,-0.4584,0.4952,-9.3204,6.8677,-0.4584,0.4952,27.0520,21.6827,-0.003301,-0.000740,0
0.4200,-0.6145,0.1552,-0.6540,6.0054,-0.6145,0.1552,-7.8682,18.0185,0.002049,-0.002821,0
0.4400,-0.4423,0.1395,7.7106,-6.0143,-0.4423,0.1395,-11.8245,-18.5509,0.002066,0.002150,0
0.4600,-0.0479,0.0745,17.6509,6.8004,-0.0479,0.0745,59.7892,13.6389,-0.003987,-0.002201,0
0.4800,-0.1101,-0.1834,-8.1270,1.9068,-0.1101,-0.1834,-3.7234,-11.6696,0.000783,0.000519,0
0.5000,0.0618,0.0225,0.5705,3.7828,0.0618,0.0225,46.1427,-10.6398,-0.002631,0.001904,0
0.5200,-0.3883,0.1532,-12.8410,4.7157,-0.3883,0.1532,-14.9432,-6.6232,-0.000790,-0.000518,0
0.5400,-0.3108,0.6176,-2.3530,16.4566,-0.3108,0.6176,-7.4123,23.4520,0.001452,-0.000731,0
0.5600,-0.0973,0.5443,-1.1206,-2.1178,-0.0973,0.5443,-0.3845,-3.9248,0.002386,-0.000382,0
0.5800,-0.3693,0.4042,-2.2129,-6.5539,-0.3693,0.4042,11.9707,-4.4107,-0.001840,0.000657,0
0.6000,-0.4887,0.2606,14.2222,24.8910,-0.4887,0.2606,16.2804,10.8009,-0.002018,-0.002580,0
0.6200,-0.2011,0.1268,22.4026,-39.0028,-0.2011,0.1268,27.9305,-25.6670,-0.002156,0.005200,0
