time,true_roll,true_pitch,true_rate_x,true_rate_y,est_roll,est_pitch,est_rate_x,est_rate_y,torque_x,torque_y,disturbance
0.0000,0.0000,0.0000,0.0000,0.0000,-0.2086,0.0909,0.1139,-0.0734,0.000081,-0.000049,0
0.0200,0.0004,-0.0002,-0.2523,0.1405,0.0488,0.0543,-1.0062,2.6101,-0.000496,-0.000062,0
0.0400,0.0007,-0.0000,-0.4203,0.0240,-0.5173,0.1429,3.3618,-16.1548,-0.000687,0.001691,0
0.0600,0.0024,0.0007,-0.0321,-0.1179,-1.0509,-0.1019,-28.0941,-31.6161,0.003152,0.005012,0
0.0800,0.0122,0.0044,-0.1137,-0.0658,-1.3030,0.2559,-7.7548,19.4125,0.002659,-0.002860,0
0.1000,0.0256,0.0086,0.0064,-0.6549,-1.6848,-0.2657,-27.8353,-9.7417,0.002000,0.002470,0
0.1200,0.0424,-0.0013,-0.3383,0.0002,-1.3475,-0.3588,20.0058,1.9402,-0.000456,0.000557,0
0.1400,0.0413,0.0167,-0.8865,-0.0028,-1.0847,-0.5753,-12.0256,-0.5387,0.001251,-0.000887,0
0.1600,0.0567,0.0097,0.0048,-1.0190,-0.6271,-0.7267,19.4734,-29.9991,-0.002482,0.003260,0
0.1800,0.0531,0.0200,-0.0359,-0.0040,-0.0739,-0.2928,18.7053,-10.5369,-0.000010,0.001032,0
0.2000,0.0740,-0.0043,-0.5835,-0.0018,-0.1552,0.3454,0.2144,21.1630,0.001247,-0.002451,0
0.2200,0.0695,-0.0089,0.0020,0.0554,-0.2152,0.2686,-9.3109,-6.0398,0.001235,-0.000126,0
0.2400,0.0846,-0.0099,-0.0793,0.9502,-0.5799,0.0981,-5.3319,-0.2644,0.000031,0.001308,0
0.2600,0.0874,-0.0175,-0.0015,0.5489,-0.6509,0.5845,-21.0338,1.4563,0.001413,-0.000819,0
0.2800,0.1277,-0.0057,0.0010,1.6972,-1.1441,0.6318,-3.3530,61.8249,-0.000594,-0.005200,0
0.3000,0.1084,-0.0269,0.0012,-0.0444,-0.7345,0.7429,-6.0034,12.2514,0.001139,-0.001397,0
0.3200,0.1227,-0.0293,-0.2864,0.1774,-0.8801,0.8797,-19.1739,1.0721,0.001772,-0.000782,0
0.3400,0.1256,-0.0391,0.0058,0.5317,-0.9234,0.9980,30.6312,-29.5852,-0.003533,0.002053,0
0.3600,0.1432,-0.0247,0.0002,0.4244,-1.0698,0.7450,-29.8442,25.8954,0.003084,-0.003289,0
0.3800,0.1677,-0.0101,0.3274,0.2243,-1.1506,0.5378,-3.6053,-24.5674,-0.001138,0.000253,0
0.4000,0.1773,-0.0125,-0.8888,0.0002,-1.1433,0.8474,8.5400,34.9198,-0.000443,-0.003814,0
0.4200,0.1767,-0.0517,-1.0224,-0.8348,-1.2900,1.0619,10.0321,17.2765,-0.000457,-0.001880,0
0.4400,0.1657,-0.0531,0.0312,-0.0082,-1.1322,0.9740,-46.3380,-11.5204,0.002482,-0.000312,0
0.4600,0.2130,-0.0466,0.7699,1.2529,-1.5676,1.2893,4.5364,21.5712,-0.000843,-0.003653,0
0.4800,0.2249,-0.0563,0.3026,0.6183,-1.4684,1.3480,-0.6448,16.7395,-0.000093,-0.004240,0
0.5000,0.2481,-0.0897,1.4622,1.0371,-1.6396,1.6233,-31.2349,23.3020,0.002620,-0.003750,0
