time,pos_x,pos_y,pos_z,vel_z,roll,pitch,yaw,on_ground
0.0000,0.0000,0.0000,-0.5000,0.0245,0.0,0.0,0.0,0
0.0050,0.0000,0.0000,-0.4997,0.0735,0.0,0.0,0.0,0
0.0100,0.0000,0.0000,-0.4992,0.1224,0.0,0.0,0.0,0
0.0150,0.0000,0.0000,-0.4985,0.1713,0.0,0.0,0.0,0
0.0200,0.0000,0.0000,-0.4975,0.2201,0.0,0.0,0.0,0
0.0250,0.0000,0.0000,-0.4963,0.2688,0.0,0.0,0.0,0
0.0300,0.0000,0.0000,-0.4948,0.3174,0.0,0.0,0.0,0
0.0350,0.0000,0.0000,-0.4931,0.3660,0.0,0.0,0.0,0
0.0400,0.0000,0.0000,-0.4912,0.4146,0.0,0.0,0.0,0
0.0450,0.0000,0.0000,-0.4890,0.4630,0.0,0.0,0.0,0
0.0500,0.0000,0.0000,-0.4865,0.5114,0.0,0.0,0.0,0
0.0550,0.0000,0.0000,-0.4839,0.5597,0.0,0.0,0.0,0
0.0600,0.0000,0.0000,-0.4809,0.6080,0.0,0.0,0.0,0
0.0650,0.0000,0.0000,-0.4778,0.6562,0.0,0.0,0.0,0
0.0700,0.0000,0.0000,-0.4744,0.7043,0.0,0.0,0.0,0
0.0750,0.0000,0.0000,-0.4707,0.7524,0.0,0.0,0.0,0
0.0800,0.0000,0.0000,-0.4669,0.8004,0.0,0.0,0.0,0
0.0850,0.0000,0.0000,-0.4627,0.8483,0.0,0.0,0.0,0
0.0900,0.0000,0.0000,-0.4584,0.8962,0.0,0.0,0.0,0
0.0950,0.0000,0.0000,-0.4538,0.9440,0.0,0.0,0.0,0
0.1000,0.0000,0.0000,-0.4489,0.9918,0.0,0.0,0.0,0
0.1050,0.0000,0.0000,-0.4439,1.0394,0.0,0.0,0.0,0
0.1100,0.0000,0.0000,-0.4385,1.0871,0.0,0.0,0.0,0
0.1150,0.0000,0.0000,-0.4330,1.1346,0.0,0.0,0.0,0
0.1200,0.0000,0.0000,-0.4272,1.1821,0.0,0.0,0.0,0
0.1250,0.0000,0.0000,-0.4212,1.2295,0.0,0.0,0.0,0
0.1300,0.0000,0.0000,-0.4149,1.2769,0.0,0.0,0.0,0
0.1350,0.0000,0.0000,-0.4084,1.3242,0.0,0.0,0.0,0
0.1400,0.0000,0.0000,-0.4017,1.3714,0.0,0.0,0.0,0
0.1450,0.0000,0.0000,-0.3947,1.4186,0.0,0.0,0.0,0
0.1500,0.0000,0.0000,-0.3875,1.4657,0.0,0.0,0.0,0
0.1550,0.0000,0.0000,-0.3800,1.5127,0.0,0.0,0.0,0
0.1600,0.0000,0.0000,-0.3723,1.5597,0.0,0.0,0.0,0
0.1650,0.0000,0.0000,-0.3644,1.6066,0.0,0.0,0.0,0
0.1700,0.0000,0.0000,-0.3563,1.6534,0.0,0.0,0.0,0
0.1750,0.0000,0.0000,-0.3479,1.7002,0.0,0.0,0.0,0
0.1800,0.0000,0.0000,-0.3393,1.7469,0.0,0.0,0.0,0
0.1850,0.0000,0.0000,-0.3304,1.7936,0.0,0.0,0.0,0
0.1900,0.0000,0.0000,-0.3213,1.8402,0.0,0.0,0.0,0
0.1950,0.0000,0.0000,-0.3120,1.8867,0.0,0.0,0.0,0
0.2000,0.0000,0.0000,-0.3025,1.9332,0.0,0.0,0.0,0
0.2050,0.0000,0.0000,-0.2927,1.9796,0.0,0.0,0.0,0
0.2100,0.0000,0.0000,-0.2827,2.0260,0.0,0.0,0.0,0
0.2150,0.0000,0.0000,-0.2724,2.0722,0.0,0.0,0.0,0
0.2200,0.0000,0.0000,-0.2620,2.1185,0.0,0.0,0.0,0
0.2250,0.0000,0.0000,-0.2513,2.1646,0.0,0.0,0.0,0
0.2300,0.0000,0.0000,-0.2403,2.2107,0.0,0.0,0.0,0
0.2350,0.0000,0.0000,-0.2291,2.2567,0.0,0.0,0.0,0
0.2400,0.0000,0.0000,-0.2177,2.3027,0.0,0.0,0.0,0
0.2450,0.0000,0.0000,-0.2061,2.3486,0.0,0.0,0.0,0
0.2500,0.0000,0.0000,-0.1943,2.3945,0.0,0.0,0.0,0
0.2550,0.0000,0.0000,-0.1822,2.4403,0.0,0.0,0.0,0
0.2600,0.0000,0.0000,-0.1699,2.4860,0.0,0.0,0.0,0
0.2650,0.0000,0.0000,-0.1573,2.5316,0.0,0.0,0.0,0
0.2700,0.0000,0.0000,-0.1445,2.5772,0.0,0.0,0.0,0
0.2750,0.0000,0.0000,-0.1315,2.6228,0.0,0.0,0.0,0
0.2800,0.0000,0.0000,-0.1183,2.6683,0.0,0.0,0.0,0
0.2850,0.0000,0.0000,-0.1049,2.7137,0.0,0.0,0.0,0
0.2900,0.0000,0.0000,-0.0912,2.7590,0.0,0.0,0.0,0
0.2950,0.0000,0.0000,-0.0773,2.8043,0.0,0.0,0.0,0
0.3000,0.0000,0.0000,-0.0631,2.8495,0.0,0.0,0.0,0
0.3050,0.0000,0.0000,-0.0488,2.8947,0.0,0.0,0.0,0
0.3100,0.0000,0.0000,-0.0342,2.9398,0.0,0.0,0.0,0
0.3150,0.0000,0.0000,-0.0194,2.9849,0.0,0.0,0.0,0
0.3200,0.0000,0.0000,-0.0173,-0.6768,0.0,0.0,0.0,0
0.3250,0.0000,0.0000,-0.0206,-0.6269,0.0,0.0,0.0,0
0.3300,0.0000,0.0000,-0.0236,-0.5770,0.0,0.0,0.0,0
0.3350,0.0000,0.0000,-0.0263,-0.5272,0.0,0.0,0.0,0
