time,true_x,true_y,true_z,true_vz,roll,pitch,yaw,on_ground
0.0000,0.0000,0.0000,-0.3000,0.0245,30.0,0.0,0.0,0
0.0050,0.0000,0.0000,-0.2997,0.0735,30.0,0.0,0.0,0
0.0100,0.0000,0.0000,-0.2992,0.1224,30.0,0.0,0.0,0
0.0150,0.0000,0.0000,-0.2985,0.1713,30.0,0.0,0.0,0
0.0200,0.0000,0.0000,-0.2975,0.2201,30.0,0.0,0.0,0
0.0250,0.0000,0.0000,-0.2963,0.2688,30.0,0.0,0.0,0
0.0300,0.0000,0.0000,-0.2948,0.3174,30.0,0.0,0.0,0
0.0350,0.0000,0.0000,-0.2931,0.3660,30.0,0.0,0.0,0
0.0400,0.0000,0.0000,-0.2912,0.4146,30.0,0.0,0.0,0
0.0450,0.0000,0.0000,-0.2890,0.4630,30.0,0.0,0.0,0
0.0500,0.0000,0.0000,-0.2865,0.5114,30.0,0.0,0.0,0
0.0550,0.0000,0.0000,-0.2839,0.5597,30.0,0.0,0.0,0
0.0600,0.0000,0.0000,-0.2809,0.6080,30.0,0.0,0.0,0
0.0650,0.0000,0.0000,-0.2778,0.6562,30.0,0.0,0.0,0
0.0700,0.0000,0.0000,-0.2744,0.7043,30.0,0.0,0.0,0
0.0750,0.0000,0.0000,-0.2707,0.7524,30.0,0.0,0.0,0
0.0800,0.0000,0.0000,-0.2669,0.8004,30.0,0.0,0.0,0
0.0850,0.0000,0.0000,-0.2627,0.8483,30.0,0.0,0.0,0
0.0900,0.0000,0.0000,-0.2584,0.8962,30.0,0.0,0.0,0
0.0950,0.0000,0.0000,-0.2538,0.9440,30.0,0.0,0.0,0
0.1000,0.0000,0.0000,-0.2489,0.9918,30.0,0.0,0.0,0
0.1050,0.0000,0.0000,-0.2439,1.0394,30.0,0.0,0.0,0
0.1100,0.0000,0.0000,-0.2385,1.0871,30.0,0.0,0.0,0
0.1150,0.0000,0.0000,-0.2330,1.1346,30.0,0.0,0.0,0
0.1200,0.0000,0.0000,-0.2272,1.1821,30.0,0.0,0.0,0
0.1250,0.0000,0.0000,-0.2212,1.2295,30.0,0.0,0.0,0
0.1300,0.0000,0.0000,-0.2149,1.2769,30.0,0.0,0.0,0
0.1350,0.0000,0.0000,-0.2084,1.3242,30.0,0.0,0.0,0
0.1400,0.0000,0.0000,-0.2017,1.3714,30.0,0.0,0.0,0
0.1450,0.0000,0.0000,-0.1947,1.4186,30.0,0.0,0.0,0
0.1500,0.0000,0.0000,-0.1875,1.4657,30.0,0.0,0.0,0
0.1550,0.0000,0.0000,-0.1800,1.5127,30.0,0.0,0.0,0
0.1600,0.0000,0.0000,-0.1723,1.5597,30.0,0.0,0.0,0
0.1650,0.0000,0.0000,-0.1644,1.6066,30.0,0.0,0.0,0
0.1700,0.0000,0.0000,-0.1563,1.6534,30.0,0.0,0.0,0
0.1750,0.0000,0.0000,-0.1479,1.7002,30.0,0.0,0.0,0
0.1800,0.0000,0.0000,-0.1393,1.7469,30.0,0.0,0.0,0
0.1850,0.0000,0.0000,-0.1304,1.7936,30.0,0.0,0.0,0
0.1900,0.0000,0.0000,-0.1213,1.8402,30.0,0.0,0.0,0
0.1950,0.0000,0.0000,-0.1120,1.8867,30.0,0.0,0.0,0
0.2000,0.0000,0.0000,-0.1025,1.9332,30.0,0.0,0.0,0
0.2050,0.0000,0.0000,-0.0927,1.9796,30.0,0.0,0.0,0
0.2100,0.0000,0.0000,-0.0827,2.0260,30.0,0.0,0.0,0
0.2150,0.0000,0.0000,-0.0724,2.0722,30.0,0.0,0.0,0
0.2200,0.0000,0.0000,-0.0620,2.1185,30.0,0.0,0.0,0
0.2250,0.0000,0.0000,-0.0513,2.1646,30.0,0.0,0.0,0
0.2300,0.0000,0.0000,-0.0403,2.2107,30.0,0.0,0.0,0
0.2350,-0.0000,-0.0004,-0.0259,1.3453,26.3,0.0,0.0,1
0.2400,-0.0000,-0.0038,-0.0246,0.8658,14.9,0.1,0.0,1
0.2450,-0.0000,-0.0076,-0.0208,0.9136,2.9,0.1,0.0,0
0.2500,-0.0001,-0.0114,-0.0160,0.7680,-1.6,-0.0,-1.9,1
0.2550,0.0000,-0.0137,-0.0136,-0.2591,-0.5,-0.1,-2.9,1
0.2600,0.0002,-0.0146,-0.0165,-0.2107,-0.3,0.1,-2.7,1
0.2650,0.0003,-0.0154,-0.0174,-0.1614,-0.1,0.2,-2.6,0
0.2700,0.0005,-0.0163,-0.0181,-0.1121,0.0,0.3,-2.5,0
0.2750,0.0006,-0.0171,-0.0185,-0.0630,0.2,0.4,-2.4,0
0.2800,0.0008,-0.0179,-0.0187,-0.0138,0.3,0.5,-2.2,0
0.2850,0.0009,-0.0188,-0.0186,0.0352,0.5,0.6,-2.1,0
0.2900,0.0010,-0.0196,-0.0183,0.0842,0.7,0.7,-2.0,0
0.2950,0.0012,-0.0204,-0.0178,0.1331,0.8,0.8,-1.8,0
0.3000,0.0013,-0.0213,-0.0170,0.1819,1.0,0.9,-1.7,1
0.3050,0.0015,-0.0221,-0.0160,0.2210,0.4,0.4,-1.8,1
0.3100,0.0016,-0.0226,-0.0145,-0.0605,-0.1,0.1,-1.8,1
