time,pos_x,pos_y,pos_z,vel_z,roll,pitch,yaw,on_ground
0.0000,0.0000,0.0000,-0.2000,0.0245,-180.0,-0.0,0.0,0
0.0050,0.0000,0.0000,-0.1997,0.0735,-180.0,-0.0,0.0,0
0.0100,0.0000,0.0000,-0.1992,0.1224,-180.0,-0.0,0.0,0
0.0150,0.0000,0.0000,-0.1985,0.1713,-180.0,-0.0,0.0,0
0.0200,0.0000,0.0000,-0.1975,0.2201,-180.0,-0.0,0.0,0
0.0250,0.0000,0.0000,-0.1963,0.2688,-180.0,-0.0,0.0,0
0.0300,0.0000,0.0000,-0.1948,0.3174,-180.0,-0.0,0.0,0
0.0350,0.0000,0.0000,-0.1931,0.3660,-180.0,-0.0,0.0,0
0.0400,0.0000,0.0000,-0.1912,0.4146,-180.0,-0.0,0.0,0
0.0450,0.0000,0.0000,-0.1890,0.4630,-180.0,-0.0,0.0,0
0.0500,0.0000,0.0000,-0.1865,0.5114,-180.0,-0.0,0.0,0
0.0550,0.0000,0.0000,-0.1839,0.5597,-180.0,-0.0,0.0,0
0.0600,0.0000,0.0000,-0.1809,0.6080,-180.0,-0.0,0.0,0
0.0650,0.0000,0.0000,-0.1778,0.6562,-180.0,-0.0,0.0,0
0.0700,0.0000,0.0000,-0.1744,0.7043,-180.0,-0.0,0.0,0
0.0750,0.0000,0.0000,-0.1707,0.7524,-180.0,-0.0,0.0,0
0.0800,0.0000,0.0000,-0.1669,0.8004,-180.0,-0.0,0.0,0
0.0850,0.0000,0.0000,-0.1627,0.8483,-180.0,-0.0,0.0,0
0.0900,0.0000,0.0000,-0.1584,0.8962,-180.0,-0.0,0.0,0
0.0950,0.0000,0.0000,-0.1538,0.9440,-180.0,-0.0,0.0,0
0.1000,0.0000,0.0000,-0.1489,0.9918,-180.0,-0.0,0.0,0
0.1050,0.0000,0.0000,-0.1439,1.0394,-180.0,-0.0,0.0,0
0.1100,0.0000,0.0000,-0.1385,1.0871,-180.0,-0.0,0.0,0
0.1150,0.0000,0.0000,-0.1330,1.1346,-180.0,-0.0,0.0,0
0.1200,0.0000,0.0000,-0.1272,1.1821,-180.0,-0.0,0.0,0
0.1250,0.0000,0.0000,-0.1212,1.2295,-180.0,-0.0,0.0,0
0.1300,0.0000,0.0000,-0.1149,1.2769,-180.0,-0.0,0.0,0
0.1350,0.0000,0.0000,-0.1084,1.3242,-180.0,-0.0,0.0,0
0.1400,0.0000,0.0000,-0.1017,1.3714,-180.0,-0.0,0.0,0
0.1450,0.0000,0.0000,-0.0947,1.4186,-180.0,-0.0,0.0,0
0.1500,0.0000,0.0000,-0.0875,1.4657,-180.0,-0.0,0.0,0
