[INFO] ESKF_CORE: ESKF core initialized (15-state)
time,true_x,true_y,true_z,true_vz,roll,pitch,yaw,eskf_x,eskf_y,eskf_z,eskf_vz,eskf_roll,eskf_pitch,eskf_yaw,thrust,m1,m2,m3,m4,accel_z,gyro_x,raw_ax,raw_ay,raw_az,raw_gx,raw_gy,raw_gz,flt_ax,flt_ay,flt_az,flt_gx,flt_gy,flt_gz,duty_avg
3.0000,0.0000,0.0000,-0.0150,-0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3912,0.9230,0.0058,0.0000,0.000,0.000,0.000,0.000,-10.0026,-0.0100,-0.2019,-0.2955,-10.0026,-0.0100,-0.0128,-0.0131,-0.2004,-0.2996,-9.9931,-0.0093,-0.0117,-0.0128,0.000
3.0200,0.0000,0.0000,-0.0150,-0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.5450,0.3448,0.0147,0.0000,0.000,0.000,0.000,0.000,-9.9793,-0.0070,-0.2228,-0.3154,-9.9793,-0.0070,-0.0106,-0.0113,-0.2106,-0.3024,-9.9951,-0.0076,-0.0114,-0.0112,0.000
3.0400,0.0000,0.0000,-0.0150,-0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3408,0.2086,0.0149,0.0000,0.000,0.000,0.000,0.000,-9.9988,-0.0105,-0.1877,-0.2938,-9.9988,-0.0105,-0.0104,-0.0131,-0.1967,-0.2984,-9.9910,-0.0090,-0.0122,-0.0122,0.000
3.0600,0.0000,0.0000,-0.0150,-0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.2576,0.1496,0.0147,0.0000,0.000,0.000,0.000,0.000,-9.9939,-0.0099,-0.2079,-0.3004,-9.9939,-0.0099,-0.0119,-0.0111,-0.2024,-0.2971,-9.9953,-0.0093,-0.0123,-0.0118,0.000
3.0800,0.0000,0.0000,-0.0150,-0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2051,0.1173,0.0149,0.0000,0.000,0.000,0.000,0.000,-9.9775,-0.0089,-0.1681,-0.2908,-9.9775,-0.0089,-0.0091,-0.0114,-0.1858,-0.2992,-9.9919,-0.0097,-0.0107,-0.0109,0.000
3.1000,0.0000,0.0000,-0.0150,-0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.1642,0.1021,0.0140,0.0000,0.000,0.000,0.000,0.000,-10.0042,-0.0100,-0.1999,-0.2919,-10.0042,-0.0100,-0.0087,-0.0127,-0.1938,-0.3021,-9.9933,-0.0103,-0.0102,-0.0128,0.000
3.1200,0.0000,0.0000,-0.0150,-0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0294,0.1680,-0.1415,0.0893,0.0134,0.0000,0.000,0.000,0.000,0.000,-9.9844,-0.0098,-0.1747,-0.3186,-9.9844,-0.0098,-0.0126,-0.0102,-0.1975,-0.3042,-9.9947,-0.0094,-0.0111,-0.0117,0.000
3.1400,0.0000,0.0000,-0.0150,-0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.1242,0.0760,0.0127,0.0000,0.000,0.000,0.000,0.000,-10.0014,-0.0125,-0.2032,-0.2998,-10.0014,-0.0125,-0.0102,-0.0150,-0.2063,-0.3013,-9.9999,-0.0097,-0.0108,-0.0121,0.000
3.1600,0.0000,0.0000,-0.0150,-0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.1116,0.0658,0.0130,0.0000,0.000,0.000,0.000,0.000,-9.9969,-0.0120,-0.1825,-0.3060,-9.9969,-0.0120,-0.0114,-0.0108,-0.1984,-0.2975,-9.9930,-0.0111,-0.0103,-0.0100,0.000
3.1800,0.0000,0.0000,-0.0150,-0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1009,0.0553,0.0139,0.0000,0.000,0.000,0.000,0.000,-9.9874,-0.0100,-0.1966,-0.2961,-9.9874,-0.0100,-0.0105,-0.0110,-0.2008,-0.3018,-9.9851,-0.0095,-0.0105,-0.0101,0.000
3.2000,0.0000,0.0000,-0.0150,-0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0912,0.0498,0.0136,0.0000,0.000,0.000,0.000,0.000,-10.0096,-0.0093,-0.2081,-0.3035,-10.0096,-0.0093,-0.0136,-0.0103,-0.1987,-0.3014,-10.0001,-0.0095,-0.0112,-0.0117,0.000
3.2200,0.0000,0.0000,-0.0150,-0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0847,0.0470,0.0125,0.0000,0.000,0.000,0.000,0.000,-10.0086,-0.0114,-0.1754,-0.3081,-10.0086,-0.0114,-0.0071,-0.0169,-0.1970,-0.3031,-10.0044,-0.0107,-0.0087,-0.0138,0.000
3.2400,0.0000,0.0000,-0.0150,-0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0770,0.0449,0.0116,0.0000,0.000,0.000,0.000,0.000,-10.0118,-0.0098,-0.1935,-0.3013,-10.0118,-0.0098,-0.0101,-0.0131,-0.2038,-0.3088,-9.9981,-0.0103,-0.0092,-0.0114,0.000
3.2600,0.0000,0.0000,-0.0150,-0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0695,0.0403,0.0107,0.0000,0.000,0.000,0.000,0.000,-9.9698,-0.0096,-0.2202,-0.2919,-9.9698,-0.0096,-0.0084,-0.0142,-0.2086,-0.3025,-9.9898,-0.0105,-0.0103,-0.0121,0.000
3.2800,0.0000,0.0000,-0.0150,-0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0657,0.0373,0.0111,0.0000,0.000,0.000,0.000,0.000,-10.0116,-0.0098,-0.2067,-0.3056,-10.0116,-0.0098,-0.0114,-0.0097,-0.2045,-0.3011,-9.9974,-0.0095,-0.0105,-0.0113,0.000
3.3000,0.0000,0.0000,-0.0150,-0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0646,0.0350,0.0103,0.0000,0.000,0.000,0.000,0.000,-9.9986,-0.0110,-0.1952,-0.2914,-9.9986,-0.0110,-0.0135,-0.0083,-0.1974,-0.2925,-9.9908,-0.0106,-0.0125,-0.0110,0.000
3.3200,0.0000,0.0000,-0.0150,-0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0619,0.0304,0.0095,0.0000,0.000,0.000,0.000,0.000,-10.0164,-0.0077,-0.1928,-0.3188,-10.0164,-0.0077,-0.0092,-0.0111,-0.1990,-0.3063,-10.0008,-0.0089,-0.0109,-0.0114,0.000
3.3400,0.0000,0.0000,-0.0150,-0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0576,0.0303,0.0087,0.0000,0.000,0.000,0.000,0.000,-10.0087,-0.0094,-0.2053,-0.3062,-10.0087,-0.0094,-0.0151,-0.0126,-0.2020,-0.3087,-9.9968,-0.0096,-0.0124,-0.0129,0.000
3.3600,0.0000,0.0000,-0.0150,-0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0529,0.0261,0.0080,0.0000,0.000,0.000,0.000,0.000,-9.9666,-0.0074,-0.1846,-0.3215,-9.9666,-0.0074,-0.0103,-0.0060,-0.2008,-0.3042,-9.9917,-0.0079,-0.0109,-0.0096,0.000
3.3800,0.0000,0.0000,-0.0150,-0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0355,0.1275,-0.0504,0.0258,0.0088,0.0000,0.000,0.000,0.000,0.000,-9.9937,-0.0094,-0.1811,-0.3132,-9.9937,-0.0094,-0.0099,-0.0106,-0.1992,-0.3052,-9.9915,-0.0090,-0.0104,-0.0114,0.000
3.4000,0.0000,0.0000,-0.0150,-0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0480,0.0229,0.0073,0.0000,0.000,0.000,0.000,0.000,-9.9866,-0.0081,-0.1858,-0.3276,-9.9866,-0.0081,-0.0114,-0.0132,-0.2006,-0.3068,-9.9883,-0.0090,-0.0107,-0.0128,0.000
3.4200,0.0000,0.0000,-0.0150,-0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0455,0.0217,0.0068,0.0000,0.000,0.000,0.000,0.000,-10.0163,-0.0124,-0.1929,-0.2950,-10.0163,-0.0124,-0.0131,-0.0091,-0.1954,-0.2974,-10.0086,-0.0105,-0.0113,-0.0106,0.000
3.4400,0.0000,0.0000,-0.0150,-0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0457,0.0226,0.0064,0.0000,0.000,0.000,0.000,0.000,-9.9780,-0.0085,-0.1705,-0.3057,-9.9780,-0.0085,-0.0132,-0.0126,-0.1819,-0.2960,-9.9802,-0.0098,-0.0119,-0.0132,0.000
3.4600,0.0000,0.0000,-0.0150,-0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0457,0.0238,0.0064,0.0000,0.000,0.000,0.000,0.000,-9.9974,-0.0085,-0.1940,-0.3131,-9.9974,-0.0085,-0.0128,-0.0105,-0.1977,-0.3037,-9.9987,-0.0091,-0.0125,-0.0108,0.000
3.4800,0.0000,0.0000,-0.0150,-0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0433,0.0210,0.0067,0.0000,0.000,0.000,0.000,0.000,-9.9832,-0.0108,-0.1970,-0.2930,-9.9832,-0.0108,-0.0069,-0.0121,-0.2031,-0.2996,-9.9869,-0.0101,-0.0112,-0.0114,0.000
3.5000,0.0000,0.0000,-0.0150,-0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0445,0.0198,0.0063,0.0000,0.000,0.000,0.000,0.000,-9.9878,-0.0096,-0.2057,-0.2962,-9.9878,-0.0096,-0.0073,-0.0098,-0.1989,-0.2929,-9.9918,-0.0107,-0.0098,-0.0109,0.000
3.5200,0.0000,0.0000,-0.0150,-0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0434,0.0187,0.0062,0.0000,0.000,0.000,0.000,0.000,-9.9618,-0.0088,-0.1972,-0.2887,-9.9618,-0.0088,-0.0124,-0.0123,-0.1994,-0.2981,-9.9879,-0.0092,-0.0124,-0.0118,0.000
