time,phase,true_roll,true_pitch,true_alt,est_roll,est_pitch,est_alt,thrust,gust
2.000,1,0.000,0.000,0.0150,0.000,0.000,0.0150,0.4628,0
2.020,1,0.000,-0.000,0.0150,0.000,-0.000,0.0150,0.4650,0
2.040,1,-0.000,-0.002,0.0150,-0.000,-0.002,0.0150,0.4670,0
2.060,1,0.030,0.005,0.0150,0.030,0.005,0.0150,0.4679,0
2.080,1,0.054,0.028,0.0154,0.054,0.028,0.0154,0.4659,0
2.100,1,0.150,0.233,0.0161,0.150,0.233,0.0161,0.4637,0
2.120,1,-0.263,0.236,0.0172,-0.263,0.236,0.0172,0.4613,0
2.140,1,0.109,0.319,0.0187,0.109,0.319,0.0187,0.4596,0
2.160,1,0.314,0.695,0.0206,0.314,0.695,0.0206,0.4555,0
2.180,1,0.330,0.255,0.0232,0.330,0.255,0.0232,0.4514,0
2.200,1,0.336,0.508,0.0262,0.336,0.508,0.0262,0.4480,0
2.220,1,0.511,0.449,0.0297,0.511,0.449,0.0297,0.4458,0
2.240,2,0.117,0.252,0.0334,0.117,0.252,0.0334,0.4447,0
2.260,2,0.042,0.250,0.0375,0.042,0.250,0.0375,0.4423,0
2.280,2,0.261,0.453,0.0419,0.261,0.453,0.0419,0.4401,0
2.300,2,0.386,0.754,0.0465,0.386,0.754,0.0465,0.4396,0
2.320,2,0.534,0.860,0.0514,0.534,0.860,0.0514,0.4377,0
2.340,2,-0.070,0.462,0.0565,-0.070,0.462,0.0565,0.4356,0
2.360,2,-0.554,0.489,0.0620,-0.554,0.489,0.0620,0.4345,0
2.380,2,-0.405,0.433,0.0675,-0.405,0.433,0.0675,0.4339,0
2.400,2,-0.324,0.339,0.0733,-0.324,0.339,0.0733,0.4318,0
2.420,2,0.124,0.360,0.0795,0.124,0.360,0.0795,0.4293,0
2.440,2,0.312,0.496,0.0859,0.312,0.496,0.0859,0.4267,0
2.460,2,0.201,0.555,0.0927,0.201,0.555,0.0927,0.4248,0
2.480,2,0.396,0.361,0.0997,0.396,0.361,0.0997,0.4230,0
2.500,2,0.230,0.153,0.1069,0.230,0.153,0.1069,0.4223,1
2.520,2,-0.067,0.059,0.1141,-0.067,0.059,0.1141,0.4220,1
2.540,2,-0.018,-0.099,0.1215,-0.018,-0.099,0.1215,0.4217,1
2.560,2,0.498,-0.298,0.1289,0.498,-0.298,0.1289,0.4230,1
2.580,2,0.226,-0.142,0.1362,0.226,-0.142,0.1362,0.4238,1
2.600,2,0.354,0.130,0.1435,0.354,0.130,0.1435,0.4244,1
2.620,2,0.308,0.633,0.1508,0.308,0.633,0.1508,0.4247,1
2.640,2,0.581,0.623,0.1582,0.581,0.623,0.1582,0.4238,1
2.660,2,0.834,0.439,0.1657,0.834,0.439,0.1657,0.4234,1
2.680,2,0.211,0.487,0.1733,0.211,0.487,0.1733,0.4229,1
2.700,2,0.062,0.444,0.1810,0.062,0.444,0.1810,0.4228,1
2.720,2,0.019,0.397,0.1888,0.019,0.397,0.1888,0.4209,1
2.740,2,-0.142,-0.052,0.1967,-0.142,-0.052,0.1967,0.4191,1
2.760,2,0.386,0.056,0.2047,0.386,0.056,0.2047,0.4160,1
