time,cmd_roll,true_roll,eskf_roll,error,altitude
0.0000,0.000,0.000,0.021,0.000,0.5000
0.0050,0.000,0.005,-0.042,0.005,0.5000
0.0100,0.000,0.018,-0.176,0.018,0.5000
0.0150,0.000,0.037,-0.280,0.037,0.5001
0.0200,0.000,0.105,-0.317,0.105,0.5002
0.0250,0.000,0.217,-0.327,0.217,0.5003
0.0300,0.000,0.334,-0.323,0.334,0.5005
0.0350,0.000,0.460,-0.031,0.460,0.5007
0.0400,0.000,0.562,0.010,0.562,0.5010
0.0450,0.000,0.643,0.064,0.643,0.5014
0.0500,0.000,0.694,0.047,0.694,0.5018
0.0550,0.000,0.744,-0.131,0.744,0.5023
0.0600,0.000,0.805,-0.135,0.805,0.5029
0.0650,0.000,0.855,0.049,0.855,0.5035
0.0700,0.000,0.874,0.116,0.874,0.5043
0.0750,0.000,0.875,-0.429,0.875,0.5051
0.0800,0.000,0.939,-0.473,0.939,0.5059
0.0850,0.000,1.002,-0.750,1.002,0.5069
0.0900,0.000,0.977,-0.743,0.977,0.5079
0.0950,0.000,0.957,-0.784,0.957,0.5089
0.1000,0.000,0.883,-0.049,0.883,0.5100
0.1050,0.000,0.777,-0.018,0.777,0.5112
0.1100,0.000,0.720,-0.058,0.720,0.5123
0.1150,0.000,0.770,-0.090,0.770,0.5135
0.1200,0.000,0.864,-0.054,0.864,0.5147
0.1250,0.000,0.935,-0.024,0.935,0.5158
0.1300,0.000,0.983,0.177,0.983,0.5169
0.1350,0.000,0.963,0.252,0.963,0.5180
0.1400,0.000,0.869,0.259,0.869,0.5191
0.1450,0.000,0.779,0.233,0.779,0.5203
0.1500,0.000,0.711,0.182,0.711,0.5214
0.1550,0.000,0.681,0.151,0.681,0.5226
0.1600,0.000,0.744,0.145,0.744,0.5238
0.1650,0.000,0.827,0.098,0.827,0.5250
0.1700,0.000,0.926,0.116,0.926,0.5263
0.1750,0.000,0.963,0.310,0.963,0.5275
0.1800,0.000,0.854,0.358,0.854,0.5288
0.1850,0.000,0.782,0.259,0.782,0.5300
0.1900,0.000,0.804,0.237,0.804,0.5312
0.1950,0.000,0.753,0.662,0.753,0.5324
0.2000,0.000,0.682,0.622,0.682,0.5335
0.2050,0.000,0.592,0.771,0.592,0.5347
0.2100,0.000,0.460,0.764,0.460,0.5358
0.2150,0.000,0.358,0.771,0.358,0.5369
0.2200,0.000,0.251,0.776,0.251,0.5381
0.2250,0.000,0.129,0.675,0.129,0.5392
0.2300,0.000,-0.009,0.384,-0.009,0.5405
