time,cmd_roll,true_roll,eskf_roll,est_error,altitude
0.0000,0.000,0.000,0.016,-0.016,0.5000
0.0050,0.000,0.012,-0.026,0.038,0.5000
0.0100,0.000,0.047,-0.017,0.064,0.4999
0.0150,0.000,0.065,-0.022,0.087,0.4998
0.0200,0.000,0.110,-0.039,0.149,0.4996
0.0250,0.000,0.178,-0.041,0.219,0.4993
0.0300,0.000,0.225,-0.041,0.266,0.4990
0.0350,0.000,0.274,0.523,-0.248,0.4985
0.0400,0.000,0.298,0.527,-0.228,0.4979
0.0450,0.000,0.306,0.531,-0.226,0.4972
0.0500,0.000,0.297,0.489,-0.192,0.4965
0.0550,0.000,0.313,0.455,-0.142,0.4957
0.0600,0.000,0.335,0.446,-0.111,0.4949
0.0650,0.000,0.315,0.489,-0.175,0.4941
0.0700,0.000,0.257,0.486,-0.230,0.4932
0.0750,0.000,0.192,0.425,-0.233,0.4924
0.0800,0.000,0.179,0.383,-0.203,0.4915
0.0850,0.000,0.152,0.393,-0.241,0.4906
0.0900,0.000,0.050,0.366,-0.316,0.4897
0.0950,0.000,-0.048,0.372,-0.421,0.4888
0.1000,0.000,-0.213,1.440,-1.653,0.4880
0.1050,0.000,-0.421,1.364,-1.785,0.4871
0.1100,0.000,-0.580,1.226,-1.806,0.4861
0.1150,0.000,-0.637,1.097,-1.734,0.4852
0.1200,0.000,-0.646,1.025,-1.672,0.4841
0.1250,0.000,-0.668,0.958,-1.626,0.4831
0.1300,0.000,-0.702,0.666,-1.368,0.4819
0.1350,0.000,-0.778,0.651,-1.429,0.4807
0.1400,0.000,-0.896,0.593,-1.489,0.4795
0.1450,0.000,-0.993,0.522,-1.516,0.4783
0.1500,0.000,-1.058,0.444,-1.502,0.4770
0.1550,0.000,-1.085,0.369,-1.454,0.4758
0.1600,0.000,-1.030,0.399,-1.430,0.4746
0.1650,0.000,-0.955,0.587,-1.542,0.4734
0.1700,0.000,-0.873,0.659,-1.532,0.4721
0.1750,0.000,-0.860,0.766,-1.626,0.4709
0.1800,0.000,-0.989,0.748,-1.737,0.4697
0.1850,0.000,-1.082,0.635,-1.717,0.4684
0.1900,0.000,-1.083,0.593,-1.676,0.4670
0.1950,0.000,-1.158,1.048,-2.207,0.4656
0.2000,0.000,-1.265,0.974,-2.239,0.4642
0.2050,0.000,-1.400,0.984,-2.383,0.4627
0.2100,0.000,-1.581,1.100,-2.680,0.4613
0.2150,0.000,-1.731,1.688,-3.420,0.4598
0.2200,0.000,-1.898,1.604,-3.501,0.4583
0.2250,0.000,-2.084,1.470,-3.554,0.4569
0.2300,0.000,-2.287,1.097,-3.384,0.4555
0.2350,0.000,-2.471,0.944,-3.416,0.4541
0.2400,0.000,-2.638,0.841,-3.479,0.4527
0.2450,0.000,-2.848,0.667,-3.515,0.4513
0.2500,0.000,-2.993,0.389,-3.382,0.4500
0.2550,0.000,-2.976,0.033,-3.009,0.4487
0.2600,0.000,-2.880,-0.115,-2.765,0.4473
0.2650,0.000,-2.804,-0.061,-2.743,0.4460
0.2700,0.000,-2.843,0.111,-2.953,0.4447
0.2750,0.000,-2.889,0.076,-2.965,0.4435
0.2800,0.000,-2.951,0.052,-3.003,0.4422
0.2850,0.000,-3.030,0.035,-3.065,0.4410
0.2900,0.000,-3.149,0.040,-3.190,0.4398
0.2950,0.000,-3.331,-0.159,-3.172,0.4387
0.3000,0.000,-3.467,-0.291,-3.176,0.4375
0.3050,0.000,-3.489,-0.288,-3.201,0.4364
0.3100,0.000,-3.456,-0.243,-3.213,0.4354
0.3150,0.000,-3.449,-0.188,-3.260,0.4344
0.3200,0.000,-3.536,-0.122,-3.414,0.4334
0.3250,0.000,-3.710,-0.184,-3.526,0.4324
0.3300,0.000,-3.886,-0.281,-3.605,0.4314
0.3350,0.000,-3.987,-0.453,-3.534,0.4305
0.3400,0.000,-3.953,-0.617,-3.336,0.4297
0.3450,0.000,-3.835,-0.712,-3.123,0.4288
0.3500,0.000,-3.680,-0.788,-2.892,0.4281
0.3550,0.000,-3.505,-0.850,-2.655,0.4273
0.3600,0.000,-3.329,-1.230,-2.099,0.4267
0.3650,0.000,-3.215,-1.186,-2.030,0.4260
0.3700,0.000,-3.136,-1.099,-2.037,0.4254
0.3750,0.000,-3.124,-1.014,-2.111,0.4247
0.3800,0.000,-3.107,-0.765,-2.341,0.4239
0.3850,0.000,-3.133,-0.685,-2.448,0.4231
0.3900,0.000,-3.193,0.744,-3.937,0.4222
0.3950,0.000,-3.276,0.745,-4.022,0.4213
0.4000,0.000,-3.403,0.732,-4.134,0.4202
0.4050,0.000,-3.610,0.684,-4.295,0.4192
0.4100,0.000,-3.868,0.558,-4.425,0.4181
0.4150,0.000,-4.073,0.402,-4.476,0.4171
0.4200,0.000,-4.206,0.334,-4.540,0.4161
0.4250,0.000,-4.277,-0.133,-4.143,0.4151
0.4300,0.000,-4.327,-0.237,-4.091,0.4141
0.4350,0.000,-4.325,-0.307,-4.018,0.4132
0.4400,0.000,-4.278,-0.346,-3.932,0.4122
0.4450,0.000,-4.148,-0.401,-3.746,0.4114
0.4500,0.000,-3.942,-0.306,-3.636,0.4105
0.4550,0.000,-3.710,0.223,-3.933,0.4096
0.4600,0.000,-3.421,0.480,-3.901,0.4088
0.4650,0.000,-3.220,0.684,-3.904,0.4079
0.4700,0.000,-3.071,0.884,-3.955,0.4071
0.4750,0.000,-3.034,1.058,-4.092,0.4063
0.4800,0.000,-3.125,1.152,-4.277,0.4055
0.4850,0.000,-3.265,1.058,-4.323,0.4048
