time,cmd_roll,true_roll,eskf_roll,est_error,altitude
0.0000,0.000,0.000,0.018,-0.018,0.5000
0.0050,0.000,0.009,-0.031,0.040,0.5000
0.0100,0.000,0.032,-0.051,0.083,0.5000
0.0150,0.000,0.048,-0.086,0.134,0.5000
0.0200,0.000,0.112,-0.088,0.200,0.4999
0.0250,0.000,0.204,0.091,0.113,0.4999
0.0300,0.000,0.265,0.351,-0.086,0.4998
0.0350,0.000,0.310,0.805,-0.494,0.4997
0.0400,0.000,0.301,0.785,-0.484,0.4996
0.0450,0.000,0.262,0.759,-0.497,0.4994
0.0500,0.000,0.200,0.659,-0.459,0.4993
0.0550,0.000,0.180,0.578,-0.398,0.4992
0.0600,0.000,0.189,0.534,-0.345,0.4990
0.0650,0.000,0.174,0.648,-0.475,0.4989
0.0700,0.000,0.132,0.621,-0.488,0.4988
0.0750,0.000,0.090,0.563,-0.473,0.4987
0.0800,0.000,0.099,0.530,-0.431,0.4986
0.0850,0.000,0.079,0.552,-0.473,0.4985
0.0900,0.000,-0.033,0.529,-0.562,0.4984
0.0950,0.000,-0.146,0.534,-0.680,0.4984
0.1000,0.000,-0.323,1.577,-1.900,0.4983
0.1050,0.000,-0.538,1.496,-2.034,0.4982
0.1100,0.000,-0.693,1.356,-2.049,0.4981
0.1150,0.000,-0.743,1.230,-1.973,0.4980
0.1200,0.000,-0.750,1.160,-1.910,0.4977
0.1250,0.000,-0.776,1.093,-1.869,0.4974
0.1300,0.000,-0.819,0.758,-1.577,0.4971
0.1350,0.000,-0.904,0.734,-1.638,0.4966
0.1400,0.000,-1.027,0.669,-1.696,0.4961
0.1450,0.000,-1.128,0.592,-1.720,0.4956
0.1500,0.000,-1.194,0.510,-1.704,0.4951
0.1550,0.000,-1.222,0.418,-1.640,0.4945
0.1600,0.000,-1.171,0.367,-1.538,0.4940
0.1650,0.000,-1.104,0.527,-1.631,0.4934
0.1700,0.000,-1.033,0.521,-1.554,0.4928
0.1750,0.000,-1.022,0.558,-1.580,0.4922
0.1800,0.000,-1.136,0.540,-1.676,0.4916
0.1850,0.000,-1.210,0.440,-1.650,0.4908
0.1900,0.000,-1.195,0.409,-1.604,0.4901
0.1950,0.000,-1.247,0.784,-2.031,0.4892
0.2000,0.000,-1.328,0.728,-2.056,0.4883
0.2050,0.000,-1.440,0.698,-2.137,0.4874
0.2100,0.000,-1.597,0.622,-2.218,0.4864
0.2150,0.000,-1.719,0.559,-2.278,0.4854
0.2200,0.000,-1.832,0.486,-2.318,0.4844
0.2250,0.000,-1.946,0.415,-2.361,0.4833
0.2300,0.000,-2.059,0.017,-2.076,0.4824
0.2350,0.000,-2.141,-0.060,-2.081,0.4814
0.2400,0.000,-2.206,-0.082,-2.125,0.4804
0.2450,0.000,-2.327,-0.144,-2.183,0.4794
0.2500,0.000,-2.394,-0.374,-2.020,0.4784
0.2550,0.000,-2.304,-0.532,-1.772,0.4774
0.2600,0.000,-2.149,-0.585,-1.564,0.4765
0.2650,0.000,-2.031,-0.432,-1.599,0.4755
0.2700,0.000,-2.042,-0.222,-1.820,0.4745
0.2750,0.000,-2.069,-0.218,-1.851,0.4735
0.2800,0.000,-2.110,-0.214,-1.895,0.4726
0.2850,0.000,-2.164,-0.191,-1.973,0.4716
0.2900,0.000,-2.256,-0.110,-2.146,0.4707
0.2950,0.000,-2.410,-0.470,-1.939,0.4698
0.3000,0.000,-2.516,-0.592,-1.924,0.4689
0.3050,0.000,-2.508,-0.654,-1.854,0.4681
0.3100,0.000,-2.445,-0.555,-1.890,0.4672
0.3150,0.000,-2.410,-0.464,-1.946,0.4664
0.3200,0.000,-2.470,-0.374,-2.097,0.4656
0.3250,0.000,-2.614,-0.342,-2.272,0.4648
0.3300,0.000,-2.757,-0.400,-2.357,0.4641
0.3350,0.000,-2.829,-0.542,-2.287,0.4634
0.3400,0.000,-2.773,-0.677,-2.096,0.4627
0.3450,0.000,-2.640,-0.750,-1.890,0.4620
0.3500,0.000,-2.478,-0.799,-1.679,0.4614
0.3550,0.000,-2.305,-0.846,-1.459,0.4608
0.3600,0.000,-2.137,-1.275,-0.863,0.4603
0.3650,0.000,-2.039,-1.232,-0.807,0.4598
0.3700,0.000,-1.970,-1.152,-0.818,0.4593
0.3750,0.000,-1.955,-1.034,-0.920,0.4587
0.3800,0.000,-1.934,-0.937,-0.997,0.4581
0.3850,0.000,-1.953,-0.877,-1.076,0.4574
0.3900,0.000,-2.003,0.532,-2.535,0.4565
0.3950,0.000,-2.075,0.537,-2.613,0.4556
0.4000,0.000,-2.186,0.532,-2.717,0.4547
0.4050,0.000,-2.364,0.499,-2.864,0.4537
0.4100,0.000,-2.578,0.398,-2.976,0.4527
0.4150,0.000,-2.740,0.275,-3.015,0.4517
0.4200,0.000,-2.838,0.273,-3.111,0.4507
0.4250,0.000,-2.886,-0.176,-2.710,0.4497
0.4300,0.000,-2.916,-0.254,-2.662,0.4488
0.4350,0.000,-2.897,-0.302,-2.595,0.4478
0.4400,0.000,-2.843,-0.327,-2.517,0.4470
0.4450,0.000,-2.714,-0.363,-2.351,0.4461
0.4500,0.000,-2.508,-0.259,-2.249,0.4452
0.4550,0.000,-2.277,0.106,-2.383,0.4444
0.4600,0.000,-1.991,0.339,-2.330,0.4435
0.4650,0.000,-1.794,0.542,-2.336,0.4427
0.4700,0.000,-1.655,0.737,-2.392,0.4419
0.4750,0.000,-1.630,0.904,-2.534,0.4410
0.4800,0.000,-1.724,0.993,-2.717,0.4402
0.4850,0.000,-1.858,0.949,-2.807,0.4394
0.4900,0.000,-1.941,1.022,-2.963,0.4387
0.4950,0.000,-1.979,0.966,-2.944,0.4379
0.5000,0.000,-2.025,0.957,-2.982,0.4371
0.5050,0.000,-2.139,0.902,-3.041,0.4364
0.5100,0.000,-2.286,0.891,-3.177,0.4357
0.5150,0.000,-2.517,0.832,-3.349,0.4350
0.5200,0.000,-2.759,0.742,-3.502,0.4343
0.5250,0.000,-2.942,0.212,-3.154,0.4336
0.5300,0.000,-3.054,0.090,-3.144,0.4329
0.5350,0.000,-3.130,-0.103,-3.028,0.4322
0.5400,0.000,-3.142,-0.169,-2.973,0.4316
0.5450,0.000,-3.116,-0.236,-2.881,0.4309
0.5500,0.000,-3.025,-0.261,-2.764,0.4302
0.5550,0.000,-2.907,-0.170,-2.737,0.4295
0.5600,0.000,-2.829,-0.088,-2.741,0.4288
0.5650,0.000,-2.829,0.200,-3.029,0.4282
0.5700,0.000,-2.900,0.401,-3.301,0.4275
0.5750,0.000,-2.988,0.404,-3.392,0.4268
0.5800,0.000,-3.050,0.375,-3.424,0.4262
0.5850,0.000,-3.100,0.303,-3.403,0.4256
0.5900,0.000,-3.193,0.292,-3.485,0.4249
0.5950,0.000,-3.247,0.243,-3.490,0.4243
0.6000,0.000,-3.194,0.228,-3.422,0.4237
0.6050,0.000,-3.114,0.157,-3.271,0.4231
0.6100,0.000,-3.010,0.179,-3.189,0.4225
0.6150,0.000,-2.920,0.180,-3.100,0.4219
0.6200,0.000,-2.817,0.220,-3.037,0.4213
0.6250,0.000,-2.741,0.235,-2.975,0.4207
0.6300,0.000,-2.620,0.245,-2.865,0.4201
0.6350,0.000,-2.469,0.320,-2.788,0.4195
0.6400,0.000,-2.399,0.429,-2.828,0.4190
0.6450,0.000,-2.437,0.484,-2.921,0.4184
0.6500,0.000,-2.508,0.256,-2.764,0.4178
0.6550,0.000,-2.604,0.275,-2.879,0.4172
0.6600,0.000,-2.738,0.179,-2.917,0.4167
0.6650,0.000,-2.849,-0.041,-2.808,0.4162
0.6700,0.000,-2.905,-0.158,-2.747,0.4157
0.6750,0.000,-2.862,-0.259,-2.603,0.4153
0.6800,0.000,-2.740,-0.279,-2.461,0.4149
0.6850,0.000,-2.621,-0.052,-2.569,0.4146
0.6900,0.000,-2.560,0.040,-2.601,0.4143
0.6950,0.000,-2.528,0.076,-2.604,0.4141
0.7000,0.000,-2.474,0.096,-2.570,0.4139
0.7050,0.000,-2.408,0.142,-2.549,0.4138
0.7100,0.000,-2.346,0.154,-2.500,0.4136
0.7150,0.000,-2.232,0.046,-2.277,0.4135
0.7200,0.000,-2.041,0.082,-2.123,0.4133
0.7250,0.000,-1.886,0.171,-2.057,0.4132
0.7300,0.000,-1.793,0.173,-1.966,0.4131
0.7350,0.000,-1.711,0.196,-1.906,0.4130
0.7400,0.000,-1.649,0.220,-1.869,0.4129
0.7450,0.000,-1.633,0.257,-1.890,0.4129
0.7500,0.000,-1.685,0.416,-2.102,0.4129
