time,true_roll,true_pitch,true_alt,est_roll,est_pitch,est_alt
2.000,0.000,0.000,0.0150,-0.118,0.016,0.0150
2.020,0.000,-0.000,0.0150,-0.279,0.242,0.0150
2.040,-0.000,-0.002,0.0150,-0.530,-0.665,0.0150
2.060,0.015,0.024,0.0150,-0.172,-2.464,0.0150
2.080,-0.005,0.283,0.0154,-0.391,-3.206,0.0154
2.100,0.100,0.864,0.0161,0.336,-3.705,0.0161
2.120,-0.398,1.288,0.0172,0.231,-3.153,0.0172
2.140,0.008,1.873,0.0186,0.335,-2.627,0.0186
2.160,0.262,2.684,0.0205,0.485,-2.107,0.0205
2.180,0.348,2.616,0.0228,0.123,-2.030,0.0228
2.200,0.387,3.162,0.0256,-0.028,-1.449,0.0256
2.220,0.570,3.390,0.0287,0.166,-1.174,0.0287
2.240,0.245,3.461,0.0321,0.017,-0.358,0.0001
2.260,0.131,3.566,0.0359,-0.392,0.083,0.0553
2.280,0.338,3.790,0.0403,-0.282,-0.128,0.0622
2.300,0.547,4.044,0.0452,-0.214,0.559,0.0654
2.320,0.798,4.370,0.0505,-0.225,0.738,0.0678
2.340,0.272,4.138,0.0563,0.188,0.728,0.0768
2.360,-0.272,4.466,0.0624,-0.252,1.104,0.0840
2.380,-0.095,4.502,0.0685,0.013,0.774,0.0804
2.400,-0.112,4.506,0.0749,0.091,0.674,0.0820
2.420,0.261,4.692,0.0817,0.258,0.732,0.0967
2.440,0.446,4.943,0.0890,0.522,0.225,0.1218
2.460,0.482,5.294,0.0962,0.459,0.510,0.1389
2.480,0.425,5.288,0.1030,0.285,0.213,0.0921
2.500,0.420,4.839,0.1100,0.585,-0.337,0.0785
2.520,0.116,4.630,0.1177,0.442,-0.597,0.1347
2.540,0.047,4.631,0.1254,-0.495,-1.054,0.1432
2.560,0.465,4.539,0.1326,-0.092,-1.008,0.1544
2.580,0.360,4.714,0.1395,-0.101,-0.670,0.1589
2.600,0.715,5.121,0.1461,-0.105,0.272,0.1482
2.620,0.912,5.909,0.1528,0.428,0.936,0.1452
2.640,1.240,6.122,0.1601,0.551,1.004,0.1689
2.660,1.483,5.995,0.1677,0.830,1.303,0.1806
2.680,0.901,6.060,0.1752,0.539,1.336,0.1919
2.700,0.663,6.019,0.1826,0.425,0.923,0.2151
2.720,0.439,6.038,0.1897,0.240,0.873,0.2320
2.740,0.239,5.841,0.1961,0.069,0.859,0.2331
2.760,0.711,5.909,0.2021,0.203,0.773,0.2412
2.780,0.925,6.094,0.2079,0.469,1.025,0.2470
2.800,0.866,6.030,0.2136,0.461,1.315,0.2417
2.820,0.311,6.048,0.2193,0.345,1.447,0.2427
2.840,-0.065,6.242,0.2252,-0.222,1.706,0.2641
2.860,-0.595,6.392,0.2310,-1.181,1.744,0.2576
2.880,0.026,6.392,0.2364,-0.806,1.796,0.2578
2.900,0.270,6.620,0.2420,-0.494,1.883,0.2764
2.920,0.423,6.591,0.2477,-0.431,1.819,0.2867
2.940,0.553,6.875,0.2533,-0.387,2.078,0.2824
2.960,0.453,6.834,0.2588,-0.359,1.988,0.2789
2.980,0.607,6.352,0.2646,-0.373,1.762,0.2794
3.000,0.464,6.384,0.2709,-0.427,1.585,0.2846
3.020,0.788,6.364,0.2776,-0.259,1.311,0.2884
3.040,0.816,6.141,0.2847,-0.098,0.961,0.2848
3.060,0.909,5.973,0.2922,-0.225,0.813,0.3115
3.080,1.392,5.822,0.2998,-0.085,0.523,0.3277
3.100,0.853,5.734,0.3068,-0.038,0.353,0.3318
3.120,0.319,5.310,0.3132,-0.098,0.295,0.3331
3.140,0.069,4.644,0.3193,0.220,-0.270,0.3370
3.160,-0.208,4.617,0.3253,0.228,-0.847,0.3434
3.180,-0.146,4.804,0.3313,-0.075,-0.811,0.3487
3.200,-0.396,5.016,0.3373,0.009,-0.535,0.3565
3.220,-1.033,4.962,0.3434,-0.481,-0.249,0.3695
3.240,-1.140,4.819,0.3493,-0.579,-0.276,0.3799
3.260,-0.475,4.645,0.3549,-0.384,-0.421,0.3876
3.280,-0.542,4.532,0.3601,-0.258,-0.468,0.3962
3.300,-0.491,4.576,0.3652,-0.360,-0.449,0.3781
3.320,-0.407,4.607,0.3704,-0.467,-0.596,0.3749
3.340,-0.151,4.730,0.3760,-0.325,-0.479,0.3736
