t,px,py,pz,qw,qx,qy,qz,alt,roll,pitch,yawrate,yawcmd,alt_est,roll_est,pitch_est,m0,m1,m2,m3
0.0000,0.00000,0.00000,0.01300,1.000000,0.000000,0.000000,0.000000,0.0130,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0200,-0.00000,-0.00000,0.01104,1.000000,0.000000,-0.000000,0.000000,0.0115,0.0000,0.0000,-0.0001,0.0000,-0.0013,-0.0029,-0.0028,0.0000,0.0265,0.0000,0.0393
0.0400,0.00000,0.00000,0.00879,1.000000,0.000000,-0.000000,0.000002,0.0088,0.0000,0.0000,-0.0001,0.0000,0.0018,-0.0053,-0.0052,0.0000,0.0276,0.0000,0.0271
0.0600,0.00000,0.00000,0.00908,1.000000,0.000000,-0.000000,0.000002,0.0090,0.0000,0.0000,-0.0000,0.0000,0.0033,0.1559,-0.1680,0.0836,0.0163,0.0000,0.0600
0.0800,0.00000,0.00000,0.00959,1.000000,0.000000,-0.000000,0.000002,0.0095,0.0000,0.0000,-0.0000,0.0000,0.0045,0.0307,-0.1230,0.0000,0.0137,0.0000,0.0287
0.1000,-0.00000,-0.00000,0.00991,1.000000,0.000000,-0.000000,0.000002,0.0099,0.0000,0.0000,-0.0000,0.0000,0.0055,-0.0240,-0.1089,0.0000,0.0356,0.0000,0.0391
0.1200,-0.00000,-0.00000,0.01007,1.000000,0.000000,-0.000000,0.000002,0.0101,0.0000,0.0000,-0.0000,0.0000,0.0064,-0.1066,-0.0703,0.0396,0.0000,0.0000,0.0000
0.1400,-0.00000,-0.00000,0.01014,1.000000,0.000000,-0.000000,0.000002,0.0101,0.0000,0.0000,-0.0000,0.0000,0.0067,-0.1406,-0.1472,0.0312,0.0000,0.0000,0.0320
0.1600,-0.00000,-0.00000,0.01017,1.000000,0.000000,-0.000000,0.000002,0.0102,0.0000,0.0000,-0.0000,0.0000,0.0068,-0.1164,-0.1069,0.0000,0.0000,0.0000,0.0444
0.1800,-0.00000,-0.00000,0.01018,1.000000,0.000000,-0.000000,0.000002,0.0102,0.0000,0.0000,-0.0000,0.0000,0.0067,-0.0967,-0.0966,0.0000,0.0072,0.0000,0.0341
0.2000,-0.00000,-0.00000,0.01019,1.000000,0.000000,-0.000000,0.000002,0.0102,0.0000,0.0000,-0.0000,0.0000,0.0067,-0.0804,-0.1045,0.0141,0.0000,0.0233,0.0000
0.2200,-0.00000,-0.00000,0.01019,1.000000,0.000000,-0.000000,0.000003,0.0102,0.0000,0.0000,-0.0000,0.0000,0.0066,-0.0699,-0.1308,0.0000,0.0368,0.0000,0.0364
0.2400,-0.00000,-0.00000,0.01019,1.000000,0.000000,-0.000000,0.000003,0.0102,0.0000,0.0000,-0.0000,0.0000,0.0065,-0.0491,-0.1355,0.0162,0.0000,0.0000,0.0172
0.2600,-0.00000,-0.00000,0.01019,1.000000,0.000000,-0.000000,0.000003,0.0102,0.0000,0.0000,-0.0000,0.0000,0.0064,-0.0947,-0.1219,0.0000,0.0317,0.0293,0.0000
0.2800,-0.00000,-0.00000,0.01019,1.000000,0.000000,-0.000000,0.000003,0.0102,0.0000,0.0000,-0.0000,0.0000,0.0064,-0.0996,-0.1395,0.0000,0.0144,0.0104,0.0222
0.3000,-0.00000,-0.00000,0.01019,1.000000,0.000000,-0.000000,0.000003,0.0102,0.0000,0.0000,-0.0000,0.0000,0.0064,-0.0701,-0.1069,0.0260,0.0185,0.0000,0.0000
0.3200,-0.00000,-0.00000,0.01019,1.000000,0.000000,-0.000000,0.000003,0.0102,0.0000,0.0000,-0.0000,0.0000,0.0064,-0.0392,-0.0628,0.0000,0.0307,0.0257,0.0215
0.3400,-0.00000,-0.00000,0.01019,1.000000,0.000000,-0.000000,0.000003,0.0102,0.0000,0.0000,-0.0000,0.0000,0.0065,-0.0024,-0.0830,0.0243,0.0000,0.0000,0.0199
0.3600,-0.00000,-0.00000,0.01019,1.000000,0.000000,-0.000000,0.000003,0.0102,0.0000,0.0000,-0.0000,0.0000,0.0065,-0.0515,-0.0789,0.0000,0.0148,0.0000,0.0363
0.3800,-0.00000,-0.00000,0.01019,1.000000,0.000000,-0.000000,0.000003,0.0102,0.0000,0.0000,-0.0000,0.0000,0.0067,-0.0210,-0.1378,0.0000,0.0334,0.0000,0.0358
0.4000,-0.00000,-0.00000,0.01019,1.000000,0.000000,-0.000000,0.000003,0.0102,0.0000,0.0000,-0.0000,0.0000,0.0068,-0.0931,-0.1494,0.0000,0.0297,0.0000,0.0276
0.4200,-0.00000,-0.00000,0.01020,1.000000,0.000001,-0.000001,0.000004,0.0102,0.0001,0.0001,-0.0001,0.0000,0.0070,-0.1187,-0.1657,0.7766,0.7769,0.7772,0.7775
0.4400,-0.00000,-0.00000,0.01023,1.000000,0.000009,-0.000004,0.000009,0.0102,0.0003,0.0002,-0.0017,0.0000,0.0071,-0.1299,-0.0865,0.7775,0.7773,0.7772,0.7785
0.4600,-0.00000,-0.00000,0.01058,1.000000,0.000146,-0.000066,0.000088,0.0105,0.0141,0.0063,-0.0108,0.0000,0.0076,-0.1167,-0.0834,0.7696,0.7702,0.7698,0.7702
0.4800,-0.00000,-0.00000,0.01180,1.000000,0.000343,-0.000170,0.000221,0.0116,0.0364,0.0179,-0.0142,0.0000,0.0090,-0.0972,-0.0743,0.7552,0.7565,0.7551,0.7563
0.5000,-0.00000,-0.00001,0.01405,1.000000,0.000531,-0.000277,0.000370,0.0137,0.0583,0.0303,-0.0150,0.0000,0.0113,-0.0784,-0.0641,0.7413,0.7398,0.7414,0.7398
0.5200,-0.00001,-0.00002,0.01731,1.000000,0.000689,-0.000375,0.000516,0.0168,0.0769,0.0417,-0.0144,0.0000,0.0147,-0.0630,-0.0542,0.7275,0.7252,0.7271,0.7253
0.5400,-0.00002,-0.00003,0.02144,0.999999,0.000814,-0.000458,0.000658,0.0209,0.0917,0.0515,-0.0141,0.0000,0.0189,-0.0514,-0.0465,0.7138,0.7135,0.7139,0.7131
