t,px,py,pz,qw,qx,qy,qz,alt,roll,pitch,yawrate,yawcmd,alt_est,roll_est,pitch_est,m0,m1,m2,m3
0.0000,0.00000,0.00000,0.01300,1.000000,0.000000,0.000000,0.000000,0.0130,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0200,0.00000,0.00000,0.01104,1.000000,-0.000012,0.000010,0.000002,0.0115,-0.0009,-0.0007,-0.0005,0.0000,-0.0017,0.2395,0.5063,0.0000,0.0449,0.0501,0.0114
0.0400,-0.00000,-0.00000,0.00879,1.000000,-0.000027,0.000029,0.000006,0.0088,-0.0031,-0.0034,-0.0002,0.0000,-0.0009,0.2986,0.6330,0.0000,0.0378,0.0000,0.0000
0.0600,-0.00000,-0.00000,0.00908,1.000000,-0.000018,0.000020,0.000007,0.0090,-0.0022,-0.0024,-0.0000,0.0000,0.0015,0.3042,0.6452,0.0000,0.0516,0.0000,0.0356
0.0800,-0.00000,-0.00000,0.00959,1.000000,-0.000010,0.000011,0.000007,0.0095,-0.0012,-0.0014,-0.0000,0.0000,0.0035,0.3085,0.6579,0.0000,0.0338,0.0140,0.0000
0.1000,-0.00000,-0.00000,0.00991,1.000000,-0.000005,0.000005,0.000007,0.0099,-0.0006,-0.0007,-0.0000,0.0000,0.0049,0.3148,0.6686,0.0000,0.0462,0.0000,0.0254
0.1200,-0.00000,-0.00000,0.01007,1.000000,-0.000002,0.000002,0.000007,0.0101,-0.0003,-0.0003,-0.0000,0.0000,0.0058,0.3200,0.6793,0.0216,0.0000,0.0343,0.0000
0.1400,-0.00000,-0.00000,0.01014,1.000000,-0.000001,0.000001,0.000007,0.0101,-0.0001,-0.0002,-0.0000,0.0000,0.0064,0.3264,0.6936,0.0000,0.0362,0.0212,0.0000
0.1600,-0.00000,-0.00000,0.01017,1.000000,-0.000001,0.000001,0.000007,0.0102,-0.0001,-0.0001,-0.0000,0.0000,0.0068,0.3333,0.7071,0.0000,0.0365,0.0098,0.0000
0.1800,-0.00000,-0.00000,0.01018,1.000000,-0.000001,0.000001,0.000007,0.0102,-0.0001,-0.0001,-0.0000,0.0000,0.0070,0.3405,0.7196,0.0000,0.0385,0.0000,0.0000
0.2000,-0.00000,-0.00000,0.01019,1.000000,-0.000001,0.000001,0.000007,0.0102,-0.0001,-0.0001,-0.0000,0.0000,0.0072,0.3445,0.7352,0.0000,0.0322,0.0312,0.0000
0.2200,-0.00000,-0.00000,0.01019,1.000000,-0.000001,0.000001,0.000008,0.0102,-0.0001,-0.0001,-0.0000,0.0000,0.0073,0.3503,0.7519,0.0000,0.0492,0.0000,0.0140
0.2400,-0.00000,-0.00000,0.01019,1.000000,-0.000001,0.000001,0.000008,0.0102,-0.0001,-0.0001,-0.0000,0.0000,0.0074,0.3555,0.7663,0.0000,0.0332,0.0271,0.0000
0.2600,-0.00000,-0.00000,0.01019,1.000000,-0.000001,0.000001,0.000008,0.0102,-0.0001,-0.0001,-0.0000,0.0000,0.0074,0.3627,0.7819,0.0000,0.0294,0.0302,0.0000
0.2800,-0.00000,-0.00000,0.01019,1.000000,-0.000001,0.000001,0.000008,0.0102,-0.0001,-0.0001,-0.0000,0.0000,0.0074,0.3679,0.7972,0.0000,0.0347,0.0176,0.0000
0.3000,-0.00000,-0.00000,0.01019,1.000000,-0.000001,0.000001,0.000008,0.0102,-0.0001,-0.0001,-0.0000,0.0000,0.0074,0.3723,0.8120,0.0000,0.0316,0.0188,0.0000
