t,px,py,pz,qw,qx,qy,qz,alt,roll,pitch,yawrate,yawcmd,alt_est,roll_est,pitch_est,m0,m1,m2,m3
0.0000,0.00000,0.00000,0.01300,1.000000,0.000000,0.000000,0.000000,0.0130,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0200,-0.00000,-0.00000,0.01109,1.000000,0.000001,-0.000000,0.000000,0.0111,0.0001,0.0000,-0.0002,0.0000,-0.0013,-0.0032,-0.0019,0.0000,0.0211,0.0047,0.0000
0.0400,0.00000,0.00000,0.00867,1.000000,0.000001,-0.000001,0.000002,0.0087,0.0002,0.0001,-0.0001,0.0000,0.0118,-0.0052,-0.0059,0.0000,0.0334,0.0000,0.0294
0.0600,0.00000,0.00000,0.00897,1.000000,0.000001,-0.000001,0.000002,0.0090,0.0001,0.0001,-0.0000,0.0000,0.0273,0.1122,-0.0893,0.0682,0.0270,0.0000,0.0367
0.0800,0.00000,0.00000,0.00952,1.000000,0.000001,-0.000000,0.000003,0.0095,0.0001,0.0000,-0.0000,0.0000,0.0807,-0.2133,0.0510,0.0000,0.0252,0.0000,0.0277
0.1000,0.00000,0.00000,0.00988,1.000000,0.000000,-0.000000,0.000003,0.0099,0.0000,0.0000,-0.0000,0.0000,0.0506,-0.1521,-0.0014,0.0000,0.0300,0.0000,0.0334
0.1200,0.00000,0.00000,0.01005,1.000000,0.000000,-0.000000,0.000003,0.0101,0.0000,0.0000,-0.0000,0.0000,0.0378,-0.0598,-0.0538,0.0428,0.0000,0.0000,0.0315
0.1400,0.00000,0.00000,0.01013,1.000000,0.000000,-0.000000,0.000003,0.0101,0.0000,0.0000,-0.0000,0.0000,0.0154,-0.1218,-0.0823,0.0000,0.0206,0.0000,0.0455
0.1600,0.00000,0.00000,0.01017,1.000000,0.000000,-0.000000,0.000003,0.0102,0.0000,0.0000,-0.0000,0.0000,0.0285,-0.1115,-0.0509,0.0000,0.0278,0.0414,0.0000
0.1800,0.00000,0.00000,0.01018,1.000000,0.000000,-0.000000,0.000003,0.0102,0.0000,0.0000,-0.0000,0.0000,0.0388,-0.0805,-0.0514,0.0355,0.0000,0.0000,0.0000
0.2000,0.00000,0.00000,0.01019,1.000000,0.000000,-0.000000,0.000003,0.0102,0.0000,0.0000,-0.0000,0.0000,0.0376,-0.0366,-0.0366,0.0000,0.0174,0.0000,0.0391
0.2200,0.00000,0.00000,0.01019,1.000000,0.000000,-0.000000,0.000003,0.0102,0.0000,0.0000,-0.0000,0.0000,0.0272,-0.1042,-0.0763,0.0162,0.0000,0.0130,0.0176
0.2400,0.00000,0.00000,0.01019,1.000000,0.000000,-0.000000,0.000003,0.0102,0.0000,0.0000,-0.0000,0.0000,0.0396,-0.1221,-0.0903,0.0000,0.0205,0.0000,0.0425
0.2600,0.00000,0.00000,0.01019,1.000000,0.000000,-0.000000,0.000003,0.0102,0.0000,0.0000,-0.0000,0.0000,0.0317,-0.0978,-0.1350,0.0210,0.0000,0.0000,0.0206
0.2800,0.00000,0.00000,0.01019,1.000000,0.000000,-0.000000,0.000003,0.0102,0.0000,0.0000,-0.0000,0.0000,0.0449,-0.0875,-0.0829,0.0000,0.0311,0.0000,0.0374
0.3000,0.00000,0.00000,0.01019,1.000000,0.000000,-0.000000,0.000003,0.0102,0.0000,0.0000,-0.0000,0.0000,0.0504,-0.0802,-0.0737,0.0000,0.0177,0.0080,0.0121
0.3200,0.00000,0.00000,0.01019,1.000000,0.000000,-0.000000,0.000003,0.0102,0.0000,0.0000,-0.0000,0.0000,0.0349,-0.0998,-0.0882,0.0000,0.0333,0.0000,0.0218
0.3400,0.00000,0.00000,0.01019,1.000000,0.000000,-0.000000,0.000003,0.0102,0.0000,0.0000,-0.0000,0.0000,0.0421,-0.0719,-0.1080,0.0000,0.0178,0.0377,0.0000
0.3600,0.00000,0.00000,0.01019,1.000000,0.000000,-0.000000,0.000003,0.0102,0.0000,0.0000,-0.0000,0.0000,0.0329,-0.1019,-0.0955,0.0000,0.0339,0.0221,0.0000
0.3800,0.00000,0.00000,0.01019,1.000000,0.000000,-0.000000,0.000004,0.0102,0.0000,0.0000,-0.0000,0.0000,0.0244,-0.0784,-0.0768,0.0000,0.0150,0.0000,0.0323
0.4000,0.00000,0.00000,0.01019,1.000000,0.000000,-0.000000,0.000004,0.0102,0.0000,0.0000,-0.0000,0.0000,0.0274,-0.0820,-0.0851,0.0114,0.0000,0.0304,0.0186
0.4200,0.00000,0.00000,0.01020,1.000000,0.000000,-0.000000,0.000004,0.0102,0.0000,0.0000,-0.0001,0.0000,0.0218,-0.1209,-0.1151,0.7897,0.7791,0.7895,0.7788
0.4400,0.00000,0.00000,0.01022,1.000000,0.000001,-0.000000,0.000005,0.0102,0.0001,0.0000,-0.0001,0.0000,0.0407,-0.1975,-0.0409,0.7684,0.7781,0.7787,0.7235
0.4600,-0.00000,-0.00000,0.01028,1.000000,0.000081,-0.000005,0.000001,0.0103,0.0090,0.0006,0.0031,0.0000,0.0273,-0.3811,-0.0313,0.6474,0.8228,0.8666,0.7855
0.4800,-0.00000,-0.00000,0.01066,1.000000,0.000395,-0.000115,-0.000034,0.0107,0.0449,0.0129,0.0082,0.0000,0.0469,-0.3116,-0.1057,0.6848,0.7464,0.7581,0.8464
0.5000,-0.00000,-0.00001,0.01155,1.000000,0.000571,-0.000346,-0.000079,0.0115,0.0655,0.0393,-0.0018,0.0000,0.0410,-0.0960,-0.1418,0.8627,0.7787,0.7255,0.6848
0.5200,-0.00001,-0.00002,0.01302,1.000000,0.000488,-0.000591,-0.000043,0.0130,0.0556,0.0677,-0.0018,0.0000,0.0258,-0.3388,0.0223,0.8064,0.7692,0.7449,0.7655
0.5400,-0.00002,-0.00003,0.01516,0.999999,0.001099,-0.000386,0.000001,0.0151,0.1247,0.0444,-0.0093,0.0000,0.0111,-0.6281,-0.0288,0.7281,0.7481,0.8521,0.8123
0.5600,-0.00003,-0.00006,0.01808,0.999999,0.001678,-0.000357,0.000089,0.0180,0.1920,0.0407,-0.0096,0.0000,0.0151,-0.3375,-0.0433,0.6945,0.7270,0.9140,0.7196
0.5800,-0.00005,-0.00010,0.02172,0.999998,0.001924,-0.000515,0.000162,0.0217,0.2203,0.0587,-0.0045,0.0000,0.0219,-0.2473,-0.0402,0.7917,0.7884,0.7741,0.6357
0.6000,-0.00007,-0.00015,0.02599,0.999999,0.001104,-0.000675,0.000156,0.0259,0.1285,0.0770,0.0035,0.0000,0.0147,0.1659,-0.1065,0.6682,0.7232,0.7973,0.7780
0.6200,-0.00010,-0.00022,0.03078,1.000000,0.000052,-0.000634,0.000119,0.0307,0.0070,0.0733,0.0070,0.0000,0.0195,-0.1325,0.1519,0.7080,0.7548,0.7091,0.7665
0.6400,-0.00013,-0.00029,0.03600,1.000000,-0.000780,-0.000140,0.000067,0.0359,-0.0881,0.0166,0.0062,0.0000,0.0308,-0.0828,-0.0068,0.7201,0.6812,0.7413,0.7618
0.6600,-0.00016,-0.00035,0.04157,0.999999,-0.001537,0.000209,-0.000010,0.0415,-0.1750,-0.0235,0.0098,0.0000,0.0367,-0.0556,0.0558,0.7701,0.7130,0.6957,0.6898
0.6800,-0.00020,-0.00040,0.04740,0.999998,-0.001973,0.000372,-0.000081,0.0473,-0.2259,-0.0428,0.0064,0.0000,0.0437,-0.2632,-0.1658,0.6940,0.7273,0.6744,0.7533
0.7000,-0.00023,-0.00043,0.05341,0.999998,-0.001980,0.000037,-0.000094,0.0533,-0.2267,-0.0048,-0.0011,0.0000,0.0518,-0.1927,-0.1686,0.6240,0.7043,0.7553,0.7383
0.7200,-0.00025,-0.00045,0.05952,0.999998,-0.001928,-0.000439,-0.000049,0.0594,-0.2211,0.0496,-0.0066,0.0000,0.0749,-0.1930,-0.2246,0.7198,0.6967,0.6160,0.7031
0.7400,-0.00029,-0.00045,0.06563,0.999998,-0.002106,-0.000466,0.000063,0.0656,-0.2407,0.0536,-0.0128,0.0000,0.0746,0.0436,-0.0370,0.6949,0.7137,0.6901,0.6532
0.7600,-0.00032,-0.00043,0.07168,0.999996,-0.002731,-0.000430,0.000202,0.0716,-0.3123,0.0489,-0.0153,0.0000,0.0820,-0.0988,-0.2406,0.7243,0.6620,0.6868,0.6756
0.7800,-0.00036,-0.00040,0.07766,0.999995,-0.003084,-0.000716,0.000359,0.0776,-0.3531,0.0817,-0.0170,0.0000,0.0821,-0.1540,-0.0897,0.6930,0.7119,0.6876,0.6932
0.8000,-0.00041,-0.00034,0.08361,0.999993,-0.003568,-0.000826,0.000503,0.0835,-0.4082,0.0941,-0.0112,0.0000,0.0763,-0.0960,-0.1896,0.6809,0.6740,0.7999,0.6733
0.8200,-0.00046,-0.00025,0.08958,0.999992,-0.003862,-0.001084,0.000611,0.0895,-0.4424,0.1236,-0.0119,0.0000,0.0880,-0.1793,-0.1397,0.6233,0.7408,0.7093,0.7266
0.8400,-0.00052,-0.00013,0.09561,0.999991,-0.003871,-0.001385,0.000725,0.0955,-0.4437,0.1580,-0.0116,0.0000,0.0711,-0.1879,-0.1346,0.7157,0.6998,0.7837,0.6958
0.8600,-0.00059,0.00002,0.10175,0.999991,-0.003804,-0.001438,0.000849,0.1017,-0.4362,0.1645,-0.0175,0.0000,0.0943,-0.1519,-0.0324,0.7016,0.6841,0.6753,0.7547
0.8800,-0.00068,0.00020,0.10799,0.999992,-0.003622,-0.001147,0.001045,0.1079,-0.4158,0.1316,-0.0214,0.0000,0.0893,-0.2320,0.0380,0.6944,0.7361,0.7215,0.7034
0.9000,-0.00077,0.00041,0.11432,0.999994,-0.003194,-0.001003,0.001239,0.1142,-0.3668,0.1144,-0.0183,0.0000,0.1030,-0.2729,-0.1721,0.7131,0.6508,0.6468,0.8001
0.9200,-0.00087,0.00064,0.12072,0.999994,-0.002886,-0.001212,0.001400,0.1206,-0.3313,0.1382,-0.0148,0.0000,0.1205,-0.1224,-0.0545,0.7155,0.6566,0.6977,0.7256
0.9400,-0.00098,0.00090,0.12714,0.999996,-0.002147,-0.001422,0.001525,0.1271,-0.2478,0.1622,-0.0144,0.0000,0.1268,-0.3537,-0.0392,0.6094,0.7462,0.7485,0.6839
0.9600,-0.00110,0.00118,0.13354,0.999997,-0.000987,-0.001525,0.001666,0.1335,-0.1148,0.1748,-0.0140,0.0000,0.1618,-0.2076,0.0784,0.6903,0.6387,0.7223,0.6286
0.9800,-0.00123,0.00146,0.13982,0.999997,-0.000272,-0.001539,0.001810,0.1397,-0.0322,0.1758,-0.0154,0.0000,0.1340,-0.0149,-0.1795,0.6990,0.6346,0.7476,0.7433
1.0000,-0.00138,0.00174,0.14609,0.999996,0.000075,-0.001840,0.001947,0.1460,0.0076,0.2106,-0.0139,0.0000,0.1290,-0.0051,-0.0756,0.8171,0.6937,0.6447,0.7218
1.0200,-0.00154,0.00202,0.15248,0.999996,0.000420,-0.002030,0.002077,0.1524,0.0474,0.2325,-0.0136,0.0000,0.1207,0.0892,-0.0614,0.8140,0.7216,0.6715,0.6995
1.0400,-0.00171,0.00230,0.15908,0.999995,0.000843,-0.001923,0.002229,0.1590,0.0948,0.2208,-0.0161,0.0000,0.1120,-0.2988,-0.0212,0.7584,0.6546,0.7450,0.7919
1.0600,-0.00191,0.00258,0.16598,0.999993,0.002027,-0.001968,0.002391,0.1659,0.2299,0.2260,-0.0174,0.0000,0.1117,-0.2296,-0.0772,0.7991,0.7313,0.7099,0.7106
1.0800,-0.00211,0.00283,0.17320,0.999990,0.003254,-0.001904,0.002558,0.1731,0.3710,0.2197,-0.0117,0.0000,0.1310,-0.0051,0.1049,0.7567,0.6342,0.6521,0.8231
1.1000,-0.00234,0.00306,0.18069,0.999988,0.003749,-0.001406,0.002661,0.1806,0.4286,0.1628,-0.0107,0.0000,0.1367,0.0604,0.0631,0.7325,0.6857,0.7394,0.7159
1.1200,-0.00258,0.00325,0.18840,0.999988,0.003822,-0.001133,0.002843,0.1883,0.4382,0.1312,-0.0246,0.0000,0.1251,0.2675,-0.0418,0.5777,0.7249,0.8495,0.7698
1.1400,-0.00282,0.00342,0.19640,0.999989,0.003275,-0.001011,0.003135,0.1963,0.3755,0.1171,-0.0314,0.0000,0.1344,0.1814,-0.0640,0.7166,0.7480,0.7378,0.7334
1.1600,-0.00308,0.00356,0.20472,0.999990,0.002781,-0.000846,0.003422,0.2046,0.3193,0.0981,-0.0220,0.0000,0.1336,0.3052,-0.1205,0.8060,0.6802,0.6667,0.7793
1.1800,-0.00334,0.00367,0.21339,0.999991,0.002057,-0.000757,0.003603,0.2133,0.2365,0.0880,-0.0157,0.0000,0.1341,0.2297,-0.0196,0.7964,0.6331,0.6642,0.8661
1.2000,-0.00361,0.00377,0.22243,0.999992,0.000900,-0.000741,0.003723,0.2223,0.1053,0.0849,-0.0079,0.0000,0.1394,0.5775,-0.1721,0.6846,0.6881,0.7984,0.7540
1.2200,-0.00388,0.00386,0.23182,0.999992,-0.000853,-0.001069,0.003794,0.2317,-0.0957,0.1217,-0.0048,0.0000,0.1502,0.4179,-0.1737,0.7485,0.5872,0.6885,0.8158
1.2400,-0.00417,0.00395,0.24145,0.999989,-0.002214,-0.001646,0.003838,0.2413,-0.2531,0.1868,-0.0058,0.0000,0.1680,0.0561,-0.1486,0.6755,0.6559,0.6942,0.7618
1.2600,-0.00446,0.00406,0.25119,0.999986,-0.002656,-0.002338,0.003881,0.2511,-0.3050,0.2654,-0.0050,0.0000,0.1864,0.0494,-0.2938,0.7738,0.6820,0.6368,0.6574
1.2800,-0.00478,0.00420,0.26091,0.999982,-0.002840,-0.003417,0.003914,0.2608,-0.3270,0.3889,-0.0002,0.0000,0.1948,-0.2131,-0.1660,0.5895,0.5660,0.7666,0.8002
1.3000,-0.00512,0.00435,0.27052,0.999981,-0.002415,-0.004163,0.003894,0.2704,-0.2797,0.4754,0.0054,0.0000,0.2196,-0.3513,-0.0008,0.7069,0.5998,0.6697,0.6940
1.3200,-0.00549,0.00452,0.27992,0.999980,-0.001785,-0.004607,0.003866,0.2798,-0.2074,0.5267,0.0043,0.0000,0.2370,-0.2073,0.0819,0.6369,0.6309,0.6402,0.7147
1.3400,-0.00590,0.00471,0.28900,0.999981,-0.001379,-0.004650,0.003820,0.2889,-0.1606,0.5326,0.0029,0.0000,0.2486,-0.1380,0.3033,0.5515,0.6453,0.7813,0.6437
1.3600,-0.00634,0.00491,0.29774,0.999983,-0.001016,-0.004289,0.003877,0.2976,-0.1186,0.4915,-0.0113,0.0000,0.2564,-0.0984,0.1937,0.7111,0.6640,0.6599,0.6284
1.3800,-0.00681,0.00511,0.30613,0.999984,-0.001144,-0.003783,0.003966,0.3060,-0.1321,0.4338,-0.0096,0.0000,0.2771,0.0174,0.2229,0.6610,0.4972,0.6511,0.8050
1.4000,-0.00730,0.00532,0.31413,0.999985,-0.001569,-0.003333,0.004022,0.3140,-0.1808,0.3819,-0.0020,0.0000,0.3050,-0.0795,0.2182,0.5810,0.6419,0.6638,0.6827
1.4200,-0.00782,0.00554,0.32166,0.999987,-0.001363,-0.002951,0.004038,0.3216,-0.1586,0.3378,0.0010,0.0000,0.3210,-0.4324,0.0246,0.6560,0.5391,0.6553,0.7006
1.4400,-0.00836,0.00577,0.32868,0.999987,-0.000619,-0.003129,0.004046,0.3286,-0.0733,0.3580,-0.0003,0.0000,0.3375,-0.1725,-0.0479,0.7199,0.5608,0.5786,0.6858
1.4600,-0.00893,0.00600,0.33515,0.999986,0.000001,-0.003452,0.004073,0.3351,-0.0023,0.3950,-0.0031,0.0000,0.3414,-0.1995,-0.0114,0.6144,0.6364,0.6971,0.6842
1.4800,-0.00951,0.00624,0.34118,0.999985,0.000289,-0.003755,0.004072,0.3411,0.0310,0.4301,0.0004,0.0000,0.3313,-0.1151,0.0522,0.7006,0.6760,0.6796,0.6936
1.5000,-0.01012,0.00647,0.34694,0.999984,0.000270,-0.004023,0.004090,0.3469,0.0294,0.4604,-0.0066,0.0000,0.3291,0.0808,-0.1222,0.7664,0.6191,0.6870,0.7173
1.5200,-0.01077,0.00670,0.35261,0.999980,-0.000308,-0.004730,0.004179,0.3525,-0.0361,0.5409,-0.0092,0.0000,0.3250,0.2796,-0.1438,0.7393,0.5702,0.6657,0.8412
1.5400,-0.01145,0.00693,0.35828,0.999975,-0.001425,-0.005467,0.004250,0.3582,-0.1645,0.6248,-0.0059,0.0000,0.3336,0.1529,-0.0701,0.7017,0.7460,0.6423,0.7244
1.5600,-0.01217,0.00717,0.36399,0.999969,-0.001896,-0.006320,0.004318,0.3639,-0.2206,0.7222,-0.0056,0.0000,0.3419,-0.5044,-0.2763,0.7988,0.6498,0.6513,0.7395
1.5800,-0.01295,0.00743,0.36977,0.999964,-0.001410,-0.007096,0.004392,0.3697,-0.1663,0.8116,-0.0053,0.0000,0.3484,-0.9556,-0.0590,0.6946,0.6330,0.7299,0.7757
1.6000,-0.01378,0.00770,0.37563,0.999961,-0.000285,-0.007572,0.004433,0.3756,-0.0387,0.8672,-0.0020,0.0000,0.3679,-1.0398,0.0565,0.7021,0.7495,0.6722,0.6589
1.6200,-0.01467,0.00797,0.38135,0.999958,0.001621,-0.007855,0.004447,0.3813,0.1791,0.9006,0.0005,0.0000,0.3773,-0.9432,0.0742,0.5125,0.5397,0.5637,0.5961
1.6400,-0.01561,0.00823,0.38631,0.999952,0.003561,-0.007924,0.004467,0.3863,0.4015,0.9097,0.0005,0.0000,0.3739,-0.6729,0.0149,0.6662,0.6659,0.4876,0.4835
1.6600,-0.01659,0.00847,0.39029,0.999943,0.005252,-0.008151,0.004485,0.3903,0.5958,0.9362,-0.0027,0.0000,0.3927,-0.5252,-0.0086,0.4964,0.6476,0.5983,0.5346
1.6800,-0.01763,0.00868,0.39324,0.999934,0.006390,-0.008373,0.004567,0.3932,0.7264,0.9629,-0.0132,0.0000,0.3719,-0.6404,0.2109,0.6874,0.6430,0.6106,0.5657
1.7000,-0.01871,0.00884,0.39532,0.999927,0.007595,-0.008103,0.004748,0.3953,0.8641,0.9330,-0.0191,0.0000,0.3778,-0.7167,0.1267,0.6411,0.6223,0.6182,0.6736
1.7200,-0.01984,0.00896,0.39670,0.999917,0.008787,-0.008056,0.004948,0.3967,1.0007,0.9281,-0.0183,0.0000,0.3816,-0.5930,0.0135,0.6839,0.6928,0.5838,0.6252
1.7400,-0.02103,0.00903,0.39751,0.999906,0.009882,-0.008028,0.005135,0.3975,1.1266,0.9258,-0.0175,0.0000,0.3882,-0.4052,0.1230,0.5905,0.7024,0.6561,0.6449
1.7600,-0.02228,0.00902,0.39780,0.999897,0.010826,-0.007744,0.005327,0.3978,1.2344,0.8946,-0.0173,0.0000,0.3845,-0.5680,-0.0052,0.6715,0.7338,0.6623,0.5901
1.7800,-0.02357,0.00893,0.39772,0.999889,0.011744,-0.007381,0.005487,0.3977,1.3399,0.8532,-0.0082,0.0000,0.3587,-0.4660,-0.4235,0.6767,0.7558,0.7177,0.6920
1.8000,-0.02493,0.00876,0.39747,0.999874,0.012744,-0.007650,0.005586,0.3975,1.4541,0.8839,-0.0111,0.0000,0.3787,-0.3836,-0.7084,0.7695,0.5802,0.6312,0.7273
1.8200,-0.02634,0.00849,0.39708,0.999853,0.013659,-0.008634,0.005683,0.3971,1.5589,0.9966,-0.0083,0.0000,0.3768,-0.1893,-0.6978,0.6341,0.7712,0.6389,0.6857
1.8400,-0.02781,0.00812,0.39655,0.999837,0.014148,-0.009666,0.005734,0.3966,1.6147,1.1154,-0.0003,0.0000,0.3782,-0.1135,-0.5640,0.7049,0.6792,0.6528,0.7008
1.8600,-0.02936,0.00764,0.39586,0.999825,0.014482,-0.010425,0.005694,0.3959,1.6527,1.2032,0.0059,0.0000,0.3821,-0.1598,-0.4035,0.6548,0.6486,0.6513,0.7625
1.8800,-0.03098,0.00705,0.39501,0.999815,0.014790,-0.010923,0.005651,0.3950,1.6873,1.2604,0.0016,0.0000,0.3800,-0.3068,-0.3852,0.6805,0.6967,0.7176,0.6368
1.9000,-0.03269,0.00635,0.39401,0.999802,0.015129,-0.011587,0.005666,0.3940,1.7259,1.3363,-0.0040,0.0000,0.3802,-0.2044,-0.4589,0.7636,0.6894,0.5618,0.7005
1.9200,-0.03449,0.00553,0.39287,0.999785,0.015634,-0.012372,0.005769,0.3929,1.7832,1.4270,-0.0163,0.0000,0.3720,-0.2296,-0.2540,0.6249,0.7188,0.7550,0.6910
1.9400,-0.03637,0.00459,0.39165,0.999761,0.016706,-0.012802,0.005978,0.3917,1.9040,1.4779,-0.0232,0.0000,0.3609,-0.5248,-0.2120,0.7783,0.6263,0.7168,0.7216
1.9600,-0.03836,0.00352,0.39045,0.999729,0.018283,-0.013000,0.006177,0.3905,2.0845,1.5025,-0.0185,0.0000,0.3722,-0.2792,-0.0646,0.7454,0.6856,0.7161,0.5999
1.9800,-0.04045,0.00231,0.38926,0.999714,0.019166,-0.012792,0.006347,0.3893,2.1872,1.4800,-0.0120,0.0000,0.3401,0.1814,-0.0034,0.6696,0.8564,0.7112,0.7070
2.0000,-0.04265,0.00094,0.38825,0.999705,0.019668,-0.012692,0.006479,0.3883,2.2441,1.4688,-0.0145,0.0000,0.3297,-0.1058,-0.1321,0.7123,0.6623,0.8841,0.7281
2.0200,-0.04495,-0.00060,0.38752,0.999686,0.020480,-0.012778,0.006660,0.3875,2.3365,1.4796,-0.0140,0.0000,0.3556,-0.1318,-0.1249,0.6646,0.6804,0.7097,0.7473
2.0400,-0.04735,-0.00231,0.38696,0.999673,0.021167,-0.012623,0.006754,0.3870,2.4155,1.4630,-0.0047,0.0000,0.3581,-0.0736,-0.0547,0.6276,0.7374,0.6689,0.7198
2.0600,-0.04985,-0.00419,0.38641,0.999663,0.021805,-0.012386,0.006748,0.3864,2.4888,1.4361,0.0071,0.0000,0.3581,-0.0372,-0.1025,0.6734,0.7385,0.6454,0.6963
2.0800,-0.05245,-0.00623,0.38581,0.999644,0.022669,-0.012376,0.006721,0.3858,2.5872,1.4354,-0.0005,0.0000,0.3569,-0.2914,-0.0923,0.6854,0.6528,0.6652,0.7711
2.1000,-0.05514,-0.00845,0.38517,0.999622,0.023807,-0.011956,0.006758,0.3852,2.7178,1.3888,-0.0007,0.0000,0.3369,-0.1814,0.0340,0.7856,0.7538,0.6333,0.6957
2.1200,-0.05792,-0.01086,0.38461,0.999605,0.024611,-0.011758,0.006770,0.3846,2.8110,1.3657,0.0001,0.0000,0.3256,-0.0300,-0.1900,0.6254,0.8052,0.8527,0.6620
2.1400,-0.06081,-0.01348,0.38427,0.999598,0.024790,-0.012005,0.006784,0.3843,2.8327,1.3938,-0.0052,0.0000,0.3196,0.3456,-0.2117,0.7651,0.7328,0.6831,0.7608
2.1600,-0.06379,-0.01631,0.38424,0.999602,0.024209,-0.012807,0.006832,0.3842,2.7658,1.4845,-0.0111,0.0000,0.3281,0.2201,-0.3833,0.7790,0.7089,0.6716,0.6778
2.1800,-0.06688,-0.01934,0.38443,0.999602,0.023627,-0.013758,0.006914,0.3844,2.6982,1.5935,-0.0104,0.0000,0.3226,0.2342,-0.2334,0.7478,0.7986,0.7263,0.5791
2.2000,-0.07008,-0.02256,0.38476,0.999600,0.023099,-0.014766,0.006988,0.3848,2.6372,1.7087,-0.0116,1.0000,0.3390,0.2797,-0.2577,0.6839,0.6943,0.6543,0.6969
